date,discharge_cfs,site_no
2004-03-17,726000.0,07374000
2004-03-18,752000.0,07374000
2004-03-19,769000.0,07374000
2004-03-20,786000.0,07374000
2004-03-21,799000.0,07374000
2004-03-22,804000.0,07374000
2004-03-23,805000.0,07374000
2004-03-24,799000.0,07374000
2004-03-25,783000.0,07374000
2004-03-26,762000.0,07374000
2004-03-27,732000.0,07374000
2004-03-28,699000.0,07374000
2004-03-29,664000.0,07374000
2004-03-30,630000.0,07374000
2004-03-31,596000.0,07374000
2004-04-01,571000.0,07374000
2004-04-02,548000.0,07374000
2004-04-03,535000.0,07374000
2004-04-04,526000.0,07374000
2004-04-05,522000.0,07374000
2004-04-06,522000.0,07374000
2004-04-07,528000.0,07374000
2004-04-08,532000.0,07374000
2004-04-09,535000.0,07374000
2004-04-10,538000.0,07374000
2004-04-11,541000.0,07374000
2004-04-12,545000.0,07374000
2004-04-13,549000.0,07374000
2004-04-14,552000.0,07374000
2004-04-15,553000.0,07374000
2004-04-16,548000.0,07374000
2004-04-17,539000.0,07374000
2004-04-18,531000.0,07374000
2004-04-19,518000.0,07374000
2004-04-20,500000.0,07374000
2004-04-21,488000.0,07374000
2004-04-22,479000.0,07374000
2004-04-23,471000.0,07374000
2004-04-24,473000.0,07374000
2004-04-25,486000.0,07374000
2004-04-26,510000.0,07374000
2004-04-27,542000.0,07374000
2004-04-28,575000.0,07374000
2004-04-29,602000.0,07374000
2004-04-30,635000.0,07374000
2004-05-01,663000.0,07374000
2004-05-02,681000.0,07374000
2004-05-03,689000.0,07374000
2004-05-04,695000.0,07374000
2004-05-05,693000.0,07374000
2004-05-06,688000.0,07374000
2004-05-07,685000.0,07374000
2004-05-08,678000.0,07374000
2004-05-09,670000.0,07374000
2004-05-10,663000.0,07374000
2004-05-11,656000.0,07374000
2004-05-12,658000.0,07374000
2004-05-13,661000.0,07374000
2004-05-14,666000.0,07374000
2004-05-15,692000.0,07374000
2004-05-16,697000.0,07374000
2004-05-17,683000.0,07374000
2004-05-18,658000.0,07374000
2004-05-19,639000.0,07374000
2004-05-20,621000.0,07374000
2004-05-21,594000.0,07374000
2004-05-22,568000.0,07374000
2004-05-23,548000.0,07374000
2004-05-24,533000.0,07374000
2004-05-25,521000.0,07374000
2004-05-26,508000.0,07374000
2004-05-27,491000.0,07374000
2004-05-28,477000.0,07374000
2004-05-29,471000.0,07374000
2004-05-30,472000.0,07374000
2004-05-31,480000.0,07374000
2004-06-01,493000.0,07374000
2004-06-02,511000.0,07374000
2004-06-03,543000.0,07374000
2004-06-04,581000.0,07374000
2004-06-05,610000.0,07374000
2004-06-06,639000.0,07374000
2004-06-07,668000.0,07374000
2004-06-08,693000.0,07374000
2004-06-09,714000.0,07374000
2004-06-10,730000.0,07374000
2004-06-11,744000.0,07374000
2004-06-12,756000.0,07374000
2004-06-13,767000.0,07374000
2004-06-14,777000.0,07374000
2004-06-15,781000.0,07374000
2004-06-16,783000.0,07374000
2004-06-17,784000.0,07374000
2004-06-18,786000.0,07374000
2004-06-19,786000.0,07374000
2004-06-20,786000.0,07374000
2004-06-21,774000.0,07374000
2004-06-22,763000.0,07374000
2004-06-23,759000.0,07374000
2004-06-24,759000.0,07374000
2004-06-25,769000.0,07374000
2004-06-26,777000.0,07374000
2004-06-27,779000.0,07374000
2004-06-28,784000.0,07374000
2004-06-29,789000.0,07374000
2004-06-30,794000.0,07374000
2004-07-01,798000.0,07374000
2004-07-02,803000.0,07374000
2004-07-03,807000.0,07374000
2004-07-04,806000.0,07374000
2004-07-05,800000.0,07374000
2004-07-06,792000.0,07374000
2004-07-07,784000.0,07374000
2004-07-08,780000.0,07374000
2004-07-09,777000.0,07374000
2004-07-10,772000.0,07374000
2004-07-11,762000.0,07374000
2004-07-12,745000.0,07374000
2004-07-13,720000.0,07374000
2004-07-14,692000.0,07374000
2004-07-15,664000.0,07374000
2004-07-16,637000.0,07374000
2004-07-17,613000.0,07374000
2004-07-18,591000.0,07374000
2004-07-19,569000.0,07374000
2004-07-20,551000.0,07374000
2004-07-21,534000.0,07374000
2004-07-22,519000.0,07374000
2004-07-23,504000.0,07374000
2004-07-24,490000.0,07374000
2004-07-25,478000.0,07374000
2004-07-26,465000.0,07374000
2004-07-27,452000.0,07374000
2004-07-28,441000.0,07374000
2004-07-29,427000.0,07374000
2004-07-30,408000.0,07374000
2004-07-31,407000.0,07374000
2004-08-01,403000.0,07374000
2004-08-02,395000.0,07374000
2004-08-03,382000.0,07374000
2004-08-04,366000.0,07374000
2004-08-05,352000.0,07374000
2004-08-06,346000.0,07374000
2004-08-07,346000.0,07374000
2004-08-08,355000.0,07374000
2004-08-09,367000.0,07374000
2004-08-10,370000.0,07374000
2004-08-11,367000.0,07374000
2004-08-12,358000.0,07374000
2004-08-13,345000.0,07374000
2004-08-14,345000.0,07374000
2004-08-15,344000.0,07374000
2004-08-16,340000.0,07374000
2004-08-17,330000.0,07374000
2004-08-18,317000.0,07374000
2004-08-19,303000.0,07374000
2004-08-20,291000.0,07374000
2004-08-21,277000.0,07374000
2004-08-22,268000.0,07374000
2004-08-23,257000.0,07374000
2004-08-24,246000.0,07374000
2004-08-25,242000.0,07374000
2004-08-26,239000.0,07374000
2004-08-27,232000.0,07374000
2004-08-28,224000.0,07374000
2004-08-29,222000.0,07374000
2004-08-30,229000.0,07374000
2004-08-31,237000.0,07374000
2004-09-01,243000.0,07374000
2004-09-02,250000.0,07374000
2004-09-03,259000.0,07374000
2004-09-04,271000.0,07374000
2004-09-05,286000.0,07374000
2004-09-06,302000.0,07374000
2004-09-07,318000.0,07374000
2004-09-08,334000.0,07374000
2004-09-09,344000.0,07374000
2004-09-10,344000.0,07374000
2004-09-11,343000.0,07374000
2004-09-12,336000.0,07374000
2004-09-13,323000.0,07374000
2004-09-14,307000.0,07374000
2004-09-15,302000.0,07374000
2004-09-16,324000.0,07374000
2004-09-17,280000.0,07374000
2004-09-18,264000.0,07374000
2004-09-19,266000.0,07374000
2004-09-20,279000.0,07374000
2004-09-21,300000.0,07374000
