date,discharge_cfs,site_no
2001-07-19,221000.0,07022000
2001-07-20,221000.0,07022000
2001-07-21,204000.0,07022000
2001-07-22,194000.0,07022000
2001-07-23,189000.0,07022000
2001-07-24,183000.0,07022000
2001-07-25,184000.0,07022000
2001-07-26,191000.0,07022000
2001-07-27,187000.0,07022000
2001-07-28,182000.0,07022000
2001-07-29,190000.0,07022000
2001-07-30,205000.0,07022000
2001-07-31,204000.0,07022000
2001-08-01,193000.0,07022000
2001-08-02,189000.0,07022000
2001-08-03,199000.0,07022000
2001-08-04,201000.0,07022000
2001-08-05,187000.0,07022000
2001-08-06,176000.0,07022000
2001-08-07,172000.0,07022000
2001-08-08,169000.0,07022000
2001-08-09,167000.0,07022000
2001-08-10,164000.0,07022000
2001-08-11,163000.0,07022000
2001-08-12,161000.0,07022000
2001-08-13,152000.0,07022000
2001-08-14,142000.0,07022000
2001-08-15,133000.0,07022000
2001-08-16,119000.0,07022000
2001-08-17,103000.0,07022000
2001-08-18,98900.0,07022000
2001-08-19,99300.0,07022000
2001-08-20,104000.0,07022000
2001-08-21,105000.0,07022000
2001-08-22,104000.0,07022000
2001-08-23,103000.0,07022000
2001-08-24,104000.0,07022000
2001-08-25,117000.0,07022000
2001-08-26,143000.0,07022000
2001-08-27,141000.0,07022000
2001-08-28,129000.0,07022000
2001-08-29,122000.0,07022000
2001-08-30,121000.0,07022000
2001-08-31,130000.0,07022000
2001-09-01,139000.0,07022000
2001-09-02,138000.0,07022000
2001-09-03,132000.0,07022000
2001-09-04,119000.0,07022000
2001-09-05,109000.0,07022000
2001-09-06,108000.0,07022000
2001-09-07,108000.0,07022000
2001-09-08,105000.0,07022000
2001-09-09,104000.0,07022000
2001-09-10,109000.0,07022000
2001-09-11,110000.0,07022000
2001-09-12,106000.0,07022000
2001-09-13,107000.0,07022000
2001-09-14,113000.0,07022000
2001-09-15,118000.0,07022000
2001-09-16,118000.0,07022000
2001-09-17,119000.0,07022000
2001-09-18,118000.0,07022000
2001-09-19,112000.0,07022000
2001-09-20,106000.0,07022000
2001-09-21,104000.0,07022000
2001-09-22,111000.0,07022000
2001-09-23,148000.0,07022000
2001-09-24,172000.0,07022000
2001-09-25,169000.0,07022000
2001-09-26,158000.0,07022000
2001-09-27,147000.0,07022000
2001-09-28,138000.0,07022000
2001-09-29,135000.0,07022000
2001-09-30,138000.0,07022000
2001-10-01,136000.0,07022000
2001-10-02,131000.0,07022000
2001-10-03,125000.0,07022000
2001-10-04,116000.0,07022000
2001-10-05,106000.0,07022000
2001-10-06,102000.0,07022000
2001-10-07,105000.0,07022000
2001-10-08,105000.0,07022000
2001-10-09,108000.0,07022000
2001-10-10,112000.0,07022000
2001-10-11,118000.0,07022000
2001-10-12,118000.0,07022000
2001-10-13,124000.0,07022000
2001-10-14,141000.0,07022000
2001-10-15,145000.0,07022000
2001-10-16,145000.0,07022000
2001-10-17,144000.0,07022000
2001-10-18,142000.0,07022000
2001-10-19,144000.0,07022000
2001-10-20,148000.0,07022000
2001-10-21,152000.0,07022000
2001-10-22,156000.0,07022000
2001-10-23,148000.0,07022000
2001-10-24,141000.0,07022000
2001-10-25,156000.0,07022000
2001-10-26,175000.0,07022000
2001-10-27,180000.0,07022000
2001-10-28,168000.0,07022000
2001-10-29,159000.0,07022000
2001-10-30,158000.0,07022000
2001-10-31,151000.0,07022000
2001-11-01,146000.0,07022000
2001-11-02,143000.0,07022000
2001-11-03,138000.0,07022000
2001-11-04,136000.0,07022000
2001-11-05,137000.0,07022000
2001-11-06,137000.0,07022000
2001-11-07,139000.0,07022000
2001-11-08,137000.0,07022000
2001-11-09,131000.0,07022000
2001-11-10,125000.0,07022000
2001-11-11,126000.0,07022000
2001-11-12,127000.0,07022000
2001-11-13,124000.0,07022000
2001-11-14,121000.0,07022000
2001-11-15,118000.0,07022000
2001-11-16,114000.0,07022000
2001-11-17,112000.0,07022000
2001-11-18,111000.0,07022000
2001-11-19,108000.0,07022000
2001-11-20,106000.0,07022000
2001-11-21,105000.0,07022000
2001-11-22,104000.0,07022000
2001-11-23,104000.0,07022000
2001-11-24,101000.0,07022000
2001-11-25,101000.0,07022000
2001-11-26,115000.0,07022000
2001-11-27,124000.0,07022000
2001-11-28,122000.0,07022000
2001-11-29,127000.0,07022000
2001-11-30,140000.0,07022000
2001-12-01,157000.0,07022000
2001-12-02,163000.0,07022000
2001-12-03,163000.0,07022000
2001-12-04,164000.0,07022000
2001-12-05,164000.0,07022000
2001-12-06,163000.0,07022000
2001-12-07,157000.0,07022000
2001-12-08,148000.0,07022000
2001-12-09,140000.0,07022000
2001-12-10,134000.0,07022000
2001-12-11,132000.0,07022000
2001-12-12,135000.0,07022000
2001-12-13,143000.0,07022000
2001-12-14,155000.0,07022000
2001-12-15,164000.0,07022000
2001-12-16,175000.0,07022000
2001-12-17,227000.0,07022000
2001-12-18,262000.0,07022000
2001-12-19,261000.0,07022000
2001-12-20,247000.0,07022000
2001-12-21,232000.0,07022000
2001-12-22,212000.0,07022000
2001-12-23,202000.0,07022000
2001-12-24,199000.0,07022000
2001-12-25,187000.0,07022000
2001-12-26,167000.0,07022000
2001-12-27,152000.0,07022000
2001-12-28,145000.0,07022000
2001-12-29,131000.0,07022000
2001-12-30,114000.0,07022000
2001-12-31,103000.0,07022000
2002-01-01,99600.0,07022000
2002-01-02,104000.0,07022000
2002-01-03,101000.0,07022000
2002-01-04,96200.0,07022000
2002-01-05,94000.0,07022000
2002-01-06,94200.0,07022000
2002-01-07,97700.0,07022000
2002-01-08,99500.0,07022000
2002-01-09,98500.0,07022000
2002-01-10,101000.0,07022000
2002-01-11,107000.0,07022000
2002-01-12,108000.0,07022000
2002-01-13,106000.0,07022000
2002-01-14,108000.0,07022000
2002-01-15,108000.0,07022000
2002-01-16,109000.0,07022000
2002-01-17,105000.0,07022000
2002-01-18,103000.0,07022000
2002-01-19,103000.0,07022000
2002-01-20,99500.0,07022000
2002-01-21,99500.0,07022000
2002-01-22,97900.0,07022000
2002-01-23,95800.0,07022000
2002-01-24,103000.0,07022000
2002-01-25,104000.0,07022000
2002-01-26,108000.0,07022000
2002-01-27,105000.0,07022000
2002-01-28,103000.0,07022000
2002-01-29,103000.0,07022000
2002-01-30,106000.0,07022000
2002-01-31,117000.0,07022000
2002-02-01,173000.0,07022000
2002-02-02,272000.0,07022000
2002-02-03,313000.0,07022000
2002-02-04,293000.0,07022000
2002-02-05,257000.0,07022000
2002-02-06,222000.0,07022000
2002-02-07,200000.0,07022000
2002-02-08,183000.0,07022000
2002-02-09,169000.0,07022000
2002-02-10,160000.0,07022000
2002-02-11,156000.0,07022000
2002-02-12,154000.0,07022000
2002-02-13,149000.0,07022000
2002-02-14,147000.0,07022000
2002-02-15,147000.0,07022000
2002-02-16,149000.0,07022000
2002-02-17,148000.0,07022000
2002-02-18,142000.0,07022000
2002-02-19,137000.0,07022000
2002-02-20,146000.0,07022000
2002-02-21,147000.0,07022000
2002-02-22,140000.0,07022000
2002-02-23,140000.0,07022000
2002-02-24,151000.0,07022000
2002-02-25,160000.0,07022000
2002-02-26,170000.0,07022000
2002-02-27,173000.0,07022000
2002-02-28,164000.0,07022000
2002-03-01,157000.0,07022000
2002-03-02,159000.0,07022000
2002-03-03,164000.0,07022000
2002-03-04,168000.0,07022000
2002-03-05,168000.0,07022000
2002-03-06,159000.0,07022000
2002-03-07,143000.0,07022000
2002-03-08,136000.0,07022000
2002-03-09,152000.0,07022000
2002-03-10,192000.0,07022000
2002-03-11,198000.0,07022000
2002-03-12,207000.0,07022000
2002-03-13,212000.0,07022000
2002-03-14,205000.0,07022000
2002-03-15,197000.0,07022000
2002-03-16,205000.0,07022000
2002-03-17,209000.0,07022000
2002-03-18,207000.0,07022000
2002-03-19,209000.0,07022000
2002-03-20,230000.0,07022000
2002-03-21,231000.0,07022000
2002-03-22,222000.0,07022000
2002-03-23,220000.0,07022000
2002-03-24,213000.0,07022000
2002-03-25,213000.0,07022000
2002-03-26,247000.0,07022000
2002-03-27,242000.0,07022000
2002-03-28,226000.0,07022000
2002-03-29,220000.0,07022000
2002-03-30,223000.0,07022000
2002-03-31,220000.0,07022000
2002-04-01,206000.0,07022000
2002-04-02,192000.0,07022000
2002-04-03,180000.0,07022000
2002-04-04,181000.0,07022000
2002-04-05,182000.0,07022000
2002-04-06,182000.0,07022000
2002-04-07,181000.0,07022000
2002-04-08,183000.0,07022000
2002-04-09,193000.0,07022000
2002-04-10,201000.0,07022000
2002-04-11,221000.0,07022000
2002-04-12,239000.0,07022000
2002-04-13,243000.0,07022000
2002-04-14,247000.0,07022000
2002-04-15,245000.0,07022000
2002-04-16,234000.0,07022000
2002-04-17,224000.0,07022000
2002-04-18,225000.0,07022000
2002-04-19,228000.0,07022000
2002-04-20,233000.0,07022000
2002-04-21,248000.0,07022000
2002-04-22,275000.0,07022000
2002-04-23,318000.0,07022000
2002-04-24,340000.0,07022000
2002-04-25,344000.0,07022000
2002-04-26,353000.0,07022000
2002-04-27,352000.0,07022000
2002-04-28,356000.0,07022000
2002-04-29,373000.0,07022000
2002-04-30,408000.0,07022000
2002-05-01,439000.0,07022000
2002-05-02,454000.0,07022000
2002-05-03,454000.0,07022000
2002-05-04,441000.0,07022000
2002-05-05,427000.0,07022000
2002-05-06,410000.0,07022000
2002-05-07,401000.0,07022000
2002-05-08,441000.0,07022000
2002-05-09,508000.0,07022000
2002-05-10,564000.0,07022000
2002-05-11,606000.0,07022000
2002-05-12,640000.0,07022000
2002-05-13,704000.0,07022000
2002-05-14,749000.0,07022000
2002-05-15,757000.0,07022000
2002-05-16,771000.0,07022000
2002-05-17,814000.0,07022000
2002-05-18,828000.0,07022000
2002-05-19,807000.0,07022000
2002-05-20,775000.0,07022000
2002-05-21,738000.0,07022000
2002-05-22,692000.0,07022000
2002-05-23,649000.0,07022000
2002-05-24,606000.0,07022000
2002-05-25,559000.0,07022000
2002-05-26,520000.0,07022000
2002-05-27,494000.0,07022000
2002-05-28,482000.0,07022000
2002-05-29,487000.0,07022000
2002-05-30,486000.0,07022000
2002-05-31,472000.0,07022000
2002-06-01,445000.0,07022000
2002-06-02,406000.0,07022000
2002-06-03,375000.0,07022000
2002-06-04,360000.0,07022000
2002-06-05,351000.0,07022000
2002-06-06,339000.0,07022000
2002-06-07,327000.0,07022000
2002-06-08,330000.0,07022000
2002-06-09,342000.0,07022000
2002-06-10,353000.0,07022000
2002-06-11,363000.0,07022000
2002-06-12,378000.0,07022000
2002-06-13,402000.0,07022000
2002-06-14,420000.0,07022000
2002-06-15,441000.0,07022000
2002-06-16,453000.0,07022000
2002-06-17,453000.0,07022000
2002-06-18,444000.0,07022000
2002-06-19,427000.0,07022000
2002-06-20,405000.0,07022000
2002-06-21,378000.0,07022000
2002-06-22,347000.0,07022000
2002-06-23,320000.0,07022000
2002-06-24,301000.0,07022000
2002-06-25,287000.0,07022000
2002-06-26,280000.0,07022000
2002-06-27,271000.0,07022000
2002-06-28,262000.0,07022000
2002-06-29,255000.0,07022000
2002-06-30,249000.0,07022000
2002-07-01,246000.0,07022000
2002-07-02,240000.0,07022000
2002-07-03,232000.0,07022000
2002-07-04,227000.0,07022000
2002-07-05,222000.0,07022000
2002-07-06,219000.0,07022000
2002-07-07,214000.0,07022000
2002-07-08,209000.0,07022000
2002-07-09,204000.0,07022000
2002-07-10,198000.0,07022000
2002-07-11,196000.0,07022000
2002-07-12,193000.0,07022000
2002-07-13,194000.0,07022000
2002-07-14,196000.0,07022000
2002-07-15,194000.0,07022000
2002-07-16,186000.0,07022000
2002-07-17,177000.0,07022000
2002-07-18,165000.0,07022000
2002-07-19,159000.0,07022000
2002-07-20,157000.0,07022000
2002-07-21,153000.0,07022000
2002-07-22,155000.0,07022000
2002-07-23,161000.0,07022000
2002-07-24,160000.0,07022000
2002-07-25,159000.0,07022000
2002-07-26,157000.0,07022000
2002-07-27,155000.0,07022000
2002-07-28,150000.0,07022000
2002-07-29,147000.0,07022000
2002-07-30,144000.0,07022000
2002-07-31,144000.0,07022000
2002-08-01,149000.0,07022000
2002-08-02,147000.0,07022000
2002-08-03,143000.0,07022000
2002-08-04,136000.0,07022000
2002-08-05,130000.0,07022000
2002-08-06,128000.0,07022000
2002-08-07,125000.0,07022000
2002-08-08,125000.0,07022000
2002-08-09,125000.0,07022000
2002-08-10,123000.0,07022000
2002-08-11,118000.0,07022000
2002-08-12,120000.0,07022000
2002-08-13,122000.0,07022000
2002-08-14,125000.0,07022000
2002-08-15,128000.0,07022000
2002-08-16,133000.0,07022000
2002-08-17,135000.0,07022000
2002-08-18,136000.0,07022000
2002-08-19,139000.0,07022000
2002-08-20,136000.0,07022000
2002-08-21,144000.0,07022000
2002-08-22,156000.0,07022000
2002-08-23,158000.0,07022000
2002-08-24,157000.0,07022000
2002-08-25,171000.0,07022000
2002-08-26,206000.0,07022000
2002-08-27,218000.0,07022000
2002-08-28,213000.0,07022000
2002-08-29,205000.0,07022000
2002-08-30,195000.0,07022000
2002-08-31,189000.0,07022000
2002-09-01,186000.0,07022000
2002-09-02,179000.0,07022000
2002-09-03,170000.0,07022000
2002-09-04,162000.0,07022000
2002-09-05,153000.0,07022000
2002-09-06,144000.0,07022000
2002-09-07,134000.0,07022000
2002-09-08,127000.0,07022000
2002-09-09,124000.0,07022000
2002-09-10,122000.0,07022000
2002-09-11,123000.0,07022000
2002-09-12,121000.0,07022000
2002-09-13,121000.0,07022000
2002-09-14,125000.0,07022000
2002-09-15,126000.0,07022000
2002-09-16,126000.0,07022000
2002-09-17,126000.0,07022000
2002-09-18,126000.0,07022000
2002-09-19,127000.0,07022000
2002-09-20,126000.0,07022000
2002-09-21,131000.0,07022000
2002-09-22,131000.0,07022000
2002-09-23,123000.0,07022000
2002-09-24,116000.0,07022000
2002-09-25,115000.0,07022000
2002-09-26,114000.0,07022000
2002-09-27,110000.0,07022000
2002-09-28,104000.0,07022000
2002-09-29,98800.0,07022000
2002-09-30,96200.0,07022000
2002-10-01,98300.0,07022000
2002-10-02,100000.0,07022000
2002-10-03,102000.0,07022000
2002-10-04,106000.0,07022000
2002-10-05,110000.0,07022000
2002-10-06,117000.0,07022000
2002-10-07,125000.0,07022000
2002-10-08,128000.0,07022000
2002-10-09,132000.0,07022000
2002-10-10,134000.0,07022000
2002-10-11,133000.0,07022000
2002-10-12,132000.0,07022000
2002-10-13,138000.0,07022000
2002-10-14,146000.0,07022000
2002-10-15,154000.0,07022000
2002-10-16,152000.0,07022000
2002-10-17,152000.0,07022000
2002-10-18,159000.0,07022000
2002-10-19,159000.0,07022000
2002-10-20,164000.0,07022000
2002-10-21,167000.0,07022000
2002-10-22,164000.0,07022000
2002-10-23,161000.0,07022000
2002-10-24,157000.0,07022000
2002-10-25,154000.0,07022000
2002-10-26,152000.0,07022000
2002-10-27,153000.0,07022000
2002-10-28,143000.0,07022000
2002-10-29,133000.0,07022000
2002-10-30,136000.0,07022000
2002-10-31,142000.0,07022000
2002-11-01,142000.0,07022000
2002-11-02,140000.0,07022000
2002-11-03,134000.0,07022000
2002-11-04,128000.0,07022000
2002-11-05,127000.0,07022000
2002-11-06,126000.0,07022000
2002-11-07,127000.0,07022000
2002-11-08,127000.0,07022000
2002-11-09,125000.0,07022000
2002-11-10,126000.0,07022000
2002-11-11,122000.0,07022000
2002-11-12,115000.0,07022000
2002-11-13,112000.0,07022000
2002-11-14,111000.0,07022000
2002-11-15,112000.0,07022000
2002-11-16,112000.0,07022000
2002-11-17,112000.0,07022000
2002-11-18,110000.0,07022000
2002-11-19,109000.0,07022000
2002-11-20,108000.0,07022000
2002-11-21,108000.0,07022000
2002-11-22,104000.0,07022000
2002-11-23,102000.0,07022000
2002-11-24,101000.0,07022000
2002-11-25,101000.0,07022000
2002-11-26,102000.0,07022000
2002-11-27,100000.0,07022000
2002-11-28,98600.0,07022000
2002-11-29,99300.0,07022000
2002-11-30,97100.0,07022000
2002-12-01,94700.0,07022000
2002-12-02,94900.0,07022000
2002-12-03,94900.0,07022000
2002-12-04,95300.0,07022000
2002-12-05,92900.0,07022000
2002-12-06,91600.0,07022000
2002-12-07,84200.0,07022000
2002-12-08,76800.0,07022000
2002-12-09,75300.0,07022000
2002-12-10,75800.0,07022000
2002-12-11,76200.0,07022000
2002-12-12,77700.0,07022000
2002-12-13,78900.0,07022000
2002-12-14,79700.0,07022000
2002-12-15,81500.0,07022000
2002-12-16,85700.0,07022000
2002-12-17,89600.0,07022000
2002-12-18,91300.0,07022000
2002-12-19,105000.0,07022000
2002-12-20,117000.0,07022000
2002-12-21,122000.0,07022000
2002-12-22,120000.0,07022000
2002-12-23,116000.0,07022000
2002-12-24,112000.0,07022000
2002-12-25,109000.0,07022000
2002-12-26,106000.0,07022000
2002-12-27,102000.0,07022000
2002-12-28,93600.0,07022000
2002-12-29,86700.0,07022000
2002-12-30,84800.0,07022000
2002-12-31,95300.0,07022000
2003-01-01,107000.0,07022000
2003-01-02,109000.0,07022000
2003-01-03,113000.0,07022000
2003-01-04,113000.0,07022000
2003-01-05,108000.0,07022000
2003-01-06,103000.0,07022000
2003-01-07,99600.0,07022000
2003-01-08,97900.0,07022000
2003-01-09,95000.0,07022000
2003-01-10,92600.0,07022000
2003-01-11,89400.0,07022000
2003-01-12,86300.0,07022000
2003-01-13,82000.0,07022000
2003-01-14,77300.0,07022000
2003-01-15,72100.0,07022000
2003-01-16,66100.0,07022000
2003-01-17,62500.0,07022000
2003-01-18,63500.0,07022000
2003-01-19,69000.0,07022000
2003-01-20,71200.0,07022000
2003-01-21,69200.0,07022000
2003-01-22,66400.0,07022000
2003-01-23,65000.0,07022000
2003-01-24,63400.0,07022000
2003-01-25,63500.0,07022000
2003-01-26,64600.0,07022000
2003-01-27,66400.0,07022000
2003-01-28,66500.0,07022000
2003-01-29,65400.0,07022000
2003-01-30,65100.0,07022000
2003-01-31,64400.0,07022000
2003-02-01,64100.0,07022000
2003-02-02,64700.0,07022000
2003-02-03,66000.0,07022000
2003-02-04,67800.0,07022000
2003-02-05,69200.0,07022000
2003-02-06,69800.0,07022000
2003-02-07,68400.0,07022000
2003-02-08,67800.0,07022000
2003-02-09,70400.0,07022000
2003-02-10,71000.0,07022000
2003-02-11,72400.0,07022000
2003-02-12,72100.0,07022000
2003-02-13,70600.0,07022000
2003-02-14,69900.0,07022000
2003-02-15,71800.0,07022000
2003-02-16,74600.0,07022000
2003-02-17,86100.0,07022000
2003-02-18,94700.0,07022000
2003-02-19,99000.0,07022000
2003-02-20,110000.0,07022000
2003-02-21,113000.0,07022000
2003-02-22,117000.0,07022000
2003-02-23,127000.0,07022000
2003-02-24,126000.0,07022000
2003-02-25,119000.0,07022000
2003-02-26,114000.0,07022000
2003-02-27,110000.0,07022000
2003-02-28,108000.0,07022000
2003-03-01,104000.0,07022000
2003-03-02,103000.0,07022000
2003-03-03,103000.0,07022000
2003-03-04,104000.0,07022000
2003-03-05,104000.0,07022000
2003-03-06,101000.0,07022000
2003-03-07,97600.0,07022000
2003-03-08,96900.0,07022000
2003-03-09,96200.0,07022000
2003-03-10,95800.0,07022000
2003-03-11,92900.0,07022000
2003-03-12,87300.0,07022000
2003-03-13,83600.0,07022000
2003-03-14,83800.0,07022000
2003-03-15,90400.0,07022000
2003-03-16,102000.0,07022000
2003-03-17,114000.0,07022000
2003-03-18,115000.0,07022000
2003-03-19,115000.0,07022000
2003-03-20,119000.0,07022000
2003-03-21,132000.0,07022000
2003-03-22,165000.0,07022000
2003-03-23,179000.0,07022000
2003-03-24,169000.0,07022000
2003-03-25,158000.0,07022000
2003-03-26,154000.0,07022000
2003-03-27,152000.0,07022000
2003-03-28,144000.0,07022000
2003-03-29,139000.0,07022000
2003-03-30,146000.0,07022000
2003-03-31,148000.0,07022000
2003-04-01,143000.0,07022000
2003-04-02,137000.0,07022000
2003-04-03,133000.0,07022000
2003-04-04,128000.0,07022000
2003-04-05,124000.0,07022000
2003-04-06,122000.0,07022000
2003-04-07,127000.0,07022000
2003-04-08,132000.0,07022000
2003-04-09,134000.0,07022000
2003-04-10,135000.0,07022000
2003-04-11,137000.0,07022000
2003-04-12,138000.0,07022000
2003-04-13,136000.0,07022000
2003-04-14,135000.0,07022000
2003-04-15,132000.0,07022000
2003-04-16,126000.0,07022000
2003-04-17,124000.0,07022000
2003-04-18,124000.0,07022000
2003-04-19,127000.0,07022000
2003-04-20,127000.0,07022000
2003-04-21,128000.0,07022000
2003-04-22,129000.0,07022000
2003-04-23,129000.0,07022000
2003-04-24,136000.0,07022000
2003-04-25,158000.0,07022000
2003-04-26,201000.0,07022000
2003-04-27,220000.0,07022000
2003-04-28,237000.0,07022000
2003-04-29,242000.0,07022000
2003-04-30,241000.0,07022000
2003-05-01,243000.0,07022000
2003-05-02,248000.0,07022000
2003-05-03,247000.0,07022000
2003-05-04,268000.0,07022000
2003-05-05,284000.0,07022000
