Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,SEAMAP
OREGON II,265,6/15/2005,12:17:28 AM,1,0,88,0.1020,W,29,59.8980,N,-88.001700,29.998300,0,24.0,5.96198,
OREGON II,265,6/15/2005,03:57:33 AM,2,0,87,59.8080,W,29,29.8680,N,-87.996800,29.497800,0,44.0,6.22587,
OREGON II,265,6/15/2005,05:36:55 AM,3,0,88,8.0400,W,29,37.1820,N,-88.134000,29.619700,0,35.4,6.14799,
OREGON II,265,6/15/2005,10:32 AM,4,0,88,9.7020,W,29,50.0580,N,-88.161700,29.834300,0,33.9,5.82241,
OREGON II,265,6/15/2005,12:25:42 PM,5,0,88,0.0900,W,29,50.9700,N,-88.001500,29.849500,0,30.2,6.00269,
OREGON II,265,6/15/2005,03:23:28 PM,6,0,88,4.2180,W,29,28.8420,N,-88.070300,29.480700,0,45.2,6.07325,
OREGON II,265,6/15/2005,05:05:03 PM,7,0,88,0.2520,W,29,24.4320,N,-88.004200,29.407200,0,74.0,4.29366,
OREGON II,265,6/15/2005,08:54:51 PM,8,0,88,0.4680,W,29,20.0280,N,-88.007800,29.333800,0,113.0,4.47217,
OREGON II,265,6/16/2005,12:21:21 AM,9,0,88,15.5100,W,29,21.0480,N,-88.258500,29.350800,0,62.0,5.23797,
OREGON II,265,6/16/2005,04:00:55 AM,10,0,88,32.1720,W,29,14.6700,N,-88.536200,29.244500,0,75.0,4.08556,
OREGON II,265,6/16/2005,05:55:21 AM,11,0,88,28.9980,W,29,12.9180,N,-88.483300,29.215300,0,124.9,3.93666,
OREGON II,265,6/16/2005,09:39:19 AM,12,0,88,40.2120,W,29,12.6120,N,-88.670200,29.210200,0,71.8,4.05845,
OREGON II,265,6/16/2005,11:40:47 AM,13,0,88,53.1900,W,29,6.6480,N,-88.886500,29.110800,0,72.0,4.15146,
OREGON II,265,6/16/2005,02:44:45 PM,15,0,88,56.7900,W,29,5.8320,N,-88.946500,29.097200,0,50.2,3.98994,
OREGON II,265,6/16/2005,05:37:47 PM,16,0,89,0.9480,W,29,0.9600,N,-89.015800,29.016000,0,54.0,4.21689,
OREGON II,265,6/18/2005,12:07:06 AM,17,0,96,29.8920,W,26,29.8920,N,-96.498200,26.498200,0,83.7,4.82903,
OREGON II,265,6/18/2005,05:00:03 PM,18,0,96,59.9520,W,26,0.0000,N,-96.999200,26.000000,0,26.0,6.41799,
OREGON II,265,6/18/2005,10:39:36 PM,19,0,96,30.1800,W,26,4.2180,N,-96.503000,26.070300,0,60.5,5.98126,
OREGON II,265,6/19/2005,12:40:45 AM,20,0,96,24.4200,W,26,2.7720,N,-96.407000,26.046200,0,86.4,5.38478,
OREGON II,265,6/19/2005,03:42:51 AM,21,0,96,20.6880,W,26,16.4400,N,-96.344800,26.274000,0,100.6,4.15377,
OREGON II,265,6/19/2005,06:08:20 AM,22,0,96,34.7580,W,26,21.8700,N,-96.579300,26.364500,0,54.9,4.79068,
OREGON II,265,6/19/2005,08:56:19 AM,24,0,96,34.1700,W,26,26.4420,N,-96.569500,26.440700,0,61.3,5.13340,
OREGON II,265,6/19/2005,03:45:14 PM,25,0,96,59.8920,W,26,29.8980,N,-96.998200,26.498300,0,34.5,5.37496,
OREGON II,265,6/19/2005,04:25:37 PM,26,0,97,2.9280,W,26,30.4800,N,-97.048800,26.508000,0,30.3,5.66573,
OREGON II,265,6/19/2005,05:40:41 PM,27,0,97,4.8600,W,26,32.7780,N,-97.081000,26.546300,0,27.3,6.17431,
OREGON II,265,6/20/2005,12:47:42 AM,28,0,97,3.9480,W,26,9.1020,N,-97.065800,26.151700,0,19.6,6.55355,
OREGON II,265,6/20/2005,02:39:24 AM,29,0,96,58.1820,W,26,5.5500,N,-96.969700,26.092500,0,28.6,6.30078,
OREGON II,265,6/20/2005,04:09:54 AM,30,0,96,53.7900,W,26,1.4880,N,-96.896500,26.024800,0,33.4,6.37204,
OREGON II,265,6/20/2005,06:41:31 AM,31,0,96,49.6980,W,26,16.8420,N,-96.828300,26.280700,0,40.3,5.70840,
OREGON II,265,6/20/2005,11:08:52 AM,33,0,96,54.5100,W,26,33.7620,N,-96.908500,26.562700,0,40.2,5.65061,
OREGON II,265,6/20/2005,03:55:16 PM,35,0,97,16.1280,W,26,44.4720,N,-97.268800,26.741200,0,17.7,5.01770,
OREGON II,265,6/20/2005,05:34:53 PM,36,0,97,17.0520,W,26,49.6500,N,-97.284200,26.827500,0,18.2,5.49184,
OREGON II,265,6/20/2005,07:27:56 PM,37,0,97,20.0700,W,26,49.9620,N,-97.334500,26.832700,0,12.3,5.93230,
OREGON II,265,6/20/2005,10:00:58 PM,38,0,97,7.2480,W,26,33.1320,N,-97.120800,26.552200,0,22.5,6.15881,
OREGON II,265,6/21/2005,12:46:05 AM,39,0,97,11.8200,W,26,22.8300,N,-97.197000,26.380500,0,11.2,5.92070,
OREGON II,265,6/21/2005,02:31:43 AM,40,0,97,10.3980,W,26,18.8580,N,-97.173300,26.314300,0,13.1,5.91589,
OREGON II,265,6/21/2005,04:17:07 AM,41,0,97,3.9120,W,26,26.9700,N,-97.065200,26.449500,0,24.5,5.88291,
OREGON II,265,6/21/2005,06:24:55 AM,42,0,96,50.2020,W,26,21.5220,N,-96.836700,26.358700,0,40.2,5.87796,
OREGON II,265,6/21/2005,03:36:37 PM,46,0,96,59.8500,W,26,59.9820,N,-96.997500,26.999700,0,41.7,5.43385,
OREGON II,265,6/21/2005,04:36:45 PM,47,0,97,2.5200,W,26,59.1780,N,-97.042000,26.986300,0,37.3,5.81406,
OREGON II,265,6/21/2005,05:55:25 PM,48,0,97,7.3200,W,27,1.0380,N,-97.122000,27.017300,0,31.0,6.00325,
OREGON II,265,6/21/2005,08:58:24 PM,49,0,97,20.5080,W,26,54.9720,N,-97.341800,26.916200,0,14.2,5.91296,
OREGON II,265,6/21/2005,09:54:34 PM,50,0,97,14.6220,W,26,52.9800,N,-97.243700,26.883000,0,23.3,5.47255,
OREGON II,265,6/22/2005,12:53:23 AM,51,0,97,17.8380,W,26,40.9980,N,-97.297300,26.683300,0,11.3,5.87410,
OREGON II,265,6/22/2005,03:09:43 AM,52,0,97,4.2720,W,26,34.6920,N,-97.071200,26.578200,0,30.1,6.37087,
OREGON II,265,6/22/2005,04:40:08 AM,53,0,97,1.4820,W,26,40.1280,N,-97.024700,26.668800,0,34.9,6.70826,
OREGON II,265,6/22/2005,07:27:11 AM,54,0,97,14.7120,W,26,54.1380,N,-97.245200,26.902300,0,24.2,5.16062,
OREGON II,265,6/22/2005,08:53:05 AM,55,0,97,15.4620,W,26,59.0880,N,-97.257700,26.984800,0,23.4,5.23531,
OREGON II,265,6/22/2005,11:12:45 AM,56,0,97,19.9920,W,27,6.6300,N,-97.333200,27.110500,0,15.3,5.77583,
OREGON II,265,6/22/2005,12:53:41 PM,57,0,97,19.2180,W,27,13.4520,N,-97.320300,27.224200,0,14.5,5.73567,
OREGON II,265,6/22/2005,07:29:03 PM,58,0,96,51.8820,W,27,25.0620,N,-96.864700,27.417700,0,41.3,4.27058,
OREGON II,265,6/22/2005,08:41:08 PM,59,0,96,49.0380,W,27,17.1480,N,-96.817300,27.285800,0,54.3,4.39866,
OREGON II,265,6/23/2005,12:23:53 AM,61,0,96,41.9580,W,27,13.2600,N,-96.699300,27.221000,0,71.7,5.24321,
OREGON II,265,6/23/2005,01:19:05 AM,62,0,96,35.8920,W,27,15.9720,N,-96.598200,27.266200,0,83.3,5.17604,
OREGON II,265,6/23/2005,04:36:25 AM,63,0,97,0.4020,W,27,25.5480,N,-97.006700,27.425800,0,29.5,4.46269,
OREGON II,265,6/23/2005,06:33:56 AM,64,0,97,11.8980,W,27,23.2980,N,-97.198300,27.388300,0,19.7,5.75584,
OREGON II,265,6/23/2005,06:33:56 AM,65,0,97,14.6100,W,27,28.0920,N,-97.243500,27.468200,0,13.3,5.72494,
OREGON II,265,6/23/2005,10:38:21 AM,66,0,96,59.9880,W,27,29.9280,N,-96.999800,27.498800,0,28.1,3.62709,
