Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,323,6/9/2017,23:16:29,1,1,96,22.37,W,26,17.28,N,-96.372833,26.288,84.3,84,3.7098
OREGON II,323,6/10/2017,1:43:39,2,1,96,32.5,W,26,11.96,N,-96.541667,26.199333,58.8,56,5.6637
OREGON II,323,6/10/2017,4:34:42,3,1,96,44.96,W,26,5.89,N,-96.749333,26.098167,44.3,42,5.9638
OREGON II,323,6/10/2017,6:39:00,4,1,96,48.87,W,26,6.24,N,-96.8145,26.104,41.7,40,6.1518
OREGON II,323,6/10/2017,10:05:02,5,1,97,7.02,W,26,1.26,N,-97.117,26.021,14.9,14,6.4006
OREGON II,323,6/10/2017,12:39:02,6,1,97,0.28,W,26,10.65,N,-97.004667,26.1775,28.1,28,5.8311
OREGON II,323,6/10/2017,14:40:04,7,1,97,0.85,W,26,14.53,N,-97.014167,26.242167,27.2,26,5.648
OREGON II,323,6/10/2017,18:14:08,8,1,96,47.12,W,26,27.16,N,-96.785333,26.452667,44.2,43,5.0923
OREGON II,323,6/10/2017,20:49:06,9,1,96,43.82,W,26,36.13,N,-96.730333,26.602167,60.7,58,4.8333
OREGON II,323,6/11/2017,0:33:53,10,1,96,48.42,W,26,41.96,N,-96.807,26.699333,57.9,58,3.434
OREGON II,323,6/11/2017,3:26:34,11,1,97,2.28,W,26,43.1,N,-97.038,26.718333,35.6,33,3.8528
OREGON II,323,6/11/2017,5:48:30,12,1,97,10.74,W,26,39.39,N,-97.179,26.6565,21,18,6.3839
OREGON II,323,6/11/2017,9:01:55,13,1,97,6.98,W,26,54.98,N,-97.116333,26.916333,32.4,29,4.4408
OREGON II,323,6/11/2017,12:22:36,14,1,96,52.68,W,26,55.93,N,-96.878,26.932167,56.9,55,5.1641
OREGON II,323,6/11/2017,15:02:32,15,1,96,39.65,W,27,0.85,N,-96.660833,27.014167,89.9,87,3.9515
OREGON II,323,6/11/2017,20:19:57,16,1,96,36.04,W,27,5.02,N,-96.600667,27.083667,95.6,94,3.7008
