Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,SEAMAP
OREGON II,259,6/17/2004,08:54 PM,19,0,96,22.8300,W,26,8.0802,N,-96.380500,26.134670,0,91.0,5.29859,
OREGON II,259,6/18/2004,01:25 AM,21,0,96,34.0398,W,26,9.8202,N,-96.567330,26.163670,0,54.0,6.40720,
OREGON II,259,6/18/2004,05:45 AM,23,0,96,29.9298,W,26,29.9502,N,-96.498830,26.499170,0,84.2,5.35613,
OREGON II,259,6/18/2004,09:57 AM,24,0,96,26.6202,W,26,3.6798,N,-96.443670,26.061330,0,70.0,5.76855,
OREGON II,259,6/18/2004,05:13 PM,25,0,96,53.8302,W,26,6.8802,N,-96.897170,26.114670,0,35.0,4.76102,
OREGON II,259,6/18/2004,08:06 PM,26,0,97,7.2000,W,26,3.7698,N,-97.120000,26.062830,0,15.0,6.33706,
OREGON II,259,6/18/2004,10:37 PM,27,0,96,59.3202,W,25,59.9202,N,-96.988670,25.998670,0,27.0,5.30816,
OREGON II,259,6/19/2004,01:19 AM,28,0,96,48.9498,W,26,10.0302,N,-96.815830,26.167170,0,40.5,5.17554,
OREGON II,259,6/19/2004,05:42 AM,30,0,96,54.5802,W,26,14.5002,N,-96.909670,26.241670,0,37.0,4.91089,
OREGON II,259,6/19/2004,08:04 AM,31,0,96,59.6400,W,26,26.7702,N,-96.994000,26.446170,0,33.0,4.96506,
OREGON II,259,6/19/2004,12:09 PM,32,0,97,10.5102,W,26,40.4502,N,-97.175170,26.674170,0,22.0,5.07283,
OREGON II,259,6/19/2004,01:37 PM,33,0,97,8.5602,W,26,42.9000,N,-97.142670,26.715000,0,28.1,4.81033,
OREGON II,259,6/19/2004,03:13 PM,34,0,97,1.6500,W,26,45.2400,N,-97.027500,26.754000,0,36.6,5.54997,
OREGON II,259,6/19/2004,08:40 PM,35,0,96,49.2498,W,26,18.6900,N,-96.820830,26.311500,0,40.0,5.53907,
OREGON II,259,6/20/2004,01:16 AM,37,0,97,6.4398,W,26,32.1402,N,-97.107330,26.535670,0,23.3,5.88597,
OREGON II,259,6/20/2004,03:47 AM,38,0,97,13.9998,W,26,34.9902,N,-97.233330,26.583170,0,15.7,6.19913,
OREGON II,259,6/20/2004,06:10 AM,39,0,97,16.3098,W,26,47.6400,N,-97.271830,26.794000,0,19.0,5.08475,
OREGON II,259,6/20/2004,08:25 AM,40,0,97,7.9098,W,27,3.5202,N,-97.131830,27.058670,0,31.5,4.96624,
OREGON II,259,6/20/2004,10:48 AM,41,0,97,1.3698,W,26,55.3098,N,-97.022830,26.921830,0,39.4,4.48766,
OREGON II,259,6/20/2004,01:15 PM,42,0,96,58.7802,W,27,1.8198,N,-96.979670,27.030330,0,43.3,5.68631,
OREGON II,259,6/20/2004,05:15 PM,44,0,96,52.9800,W,26,59.3202,N,-96.883000,26.988670,0,55.1,5.16154,
OREGON II,259,6/20/2004,09:08 PM,46,0,96,33.2298,W,26,58.1898,N,-96.553830,26.969830,0,110.9,4.65344,
OREGON II,259,6/21/2004,04:15 AM,49,0,97,14.5698,W,26,50.3700,N,-97.242830,26.839500,0,22.7,5.67086,
OREGON II,259,6/21/2004,06:08 AM,50,0,97,19.5498,W,26,50.0502,N,-97.325830,26.834170,0,14.5,6.15195,
OREGON II,259,6/21/2004,08:01 AM,51,0,97,15.0402,W,27,4.3398,N,-97.250670,27.072330,0,23.5,5.71923,
OREGON II,259,6/21/2004,03:11 PM,52,0,97,3.3498,W,27,37.5402,N,-97.055830,27.625670,0,20.5,3.94988,
OREGON II,259,6/21/2004,06:00 PM,53,0,97,2.5698,W,27,25.7100,N,-97.042830,27.428500,0,28.0,5.34377,
OREGON II,259,6/21/2004,08:28 PM,54,0,97,5.1198,W,27,21.2400,N,-97.085330,27.354000,0,27.8,4.72568,
OREGON II,259,6/21/2004,09:31 PM,55,0,96,58.1502,W,27,24.4500,N,-96.969170,27.407500,0,33.3,5.84278,
OREGON II,259,6/21/2004,11:15 PM,56,0,97,1.3800,W,27,22.3200,N,-97.023000,27.372000,0,30.3,5.13437,
OREGON II,259,6/22/2004,01:41 AM,57,0,97,7.5102,W,27,15.8598,N,-97.125170,27.264330,0,26.9,5.52328,
OREGON II,259,6/22/2004,03:38 AM,58,0,97,7.0800,W,27,11.3400,N,-97.118000,27.189000,0,29.6,5.78527,
OREGON II,259,6/22/2004,07:30 AM,59,0,97,21.1902,W,27,2.5800,N,-97.353170,27.043000,0,13.1,5.99397,
OREGON II,259,6/22/2004,08:46 AM,60,0,97,20.8398,W,27,6.0498,N,-97.347330,27.100830,0,13.2,5.98911,
OREGON II,259,6/22/2004,10:22 AM,61,0,97,19.1898,W,27,9.7500,N,-97.319830,27.162500,0,15.1,5.86152,
OREGON II,259,6/22/2004,11:20 AM,62,0,97,17.3400,W,27,8.6202,N,-97.289000,27.143670,0,18.8,5.90715,
OREGON II,259,6/22/2004,12:41 PM,63,0,97,17.6502,W,27,12.1998,N,-97.294170,27.203330,0,17.1,5.94273,
OREGON II,259,6/22/2004,03:07 PM,64,0,97,11.0898,W,27,23.6202,N,-97.184830,27.393670,0,20.9,4.69112,
OREGON II,259,6/22/2004,04:41 PM,65,0,96,59.8800,W,27,29.9898,N,-96.998000,27.499830,0,28.1,5.88335,
OREGON II,259,6/22/2004,08:55 PM,66,0,96,59.0802,W,27,49.9998,N,-96.984670,27.833330,0,13.3,4.80196,
OREGON II,259,6/22/2004,10:19 PM,67,0,96,53.8500,W,27,43.5798,N,-96.897500,27.726330,0,23.3,6.05199,
OREGON II,259,6/23/2004,01:52 AM,68,0,96,49.0398,W,27,52.8402,N,-96.817330,27.880670,0,20.5,5.92390,
OREGON II,259,6/23/2004,04:19 AM,69,0,96,29.9700,W,28,0.1602,N,-96.499500,28.002670,0,26.3,5.64814,
OREGON II,259,6/23/2004,06:23 AM,70,0,96,30.8202,W,28,6.3000,N,-96.513670,28.105000,0,21.1,4.48355,
OREGON II,259,6/23/2004,07:07 AM,71,0,96,27.0000,W,28,9.9498,N,-96.450000,28.165830,0,20.8,4.79723,
OREGON II,259,6/23/2004,12:08 PM,72,0,96,27.9900,W,27,36.9702,N,-96.466500,27.616170,0,65.4,5.79966,
OREGON II,259,6/23/2004,02:32 PM,73,0,96,30.0702,W,27,29.9598,N,-96.501170,27.499330,0,73.5,5.28457,
OREGON II,259,6/23/2004,04:39 PM,74,0,96,35.7300,W,27,18.9102,N,-96.595500,27.315170,0,80.5,5.40314,
OREGON II,259,6/23/2004,09:09 PM,76,0,96,27.4698,W,27,38.7900,N,-96.457830,27.646500,0,62.5,5.75187,
OREGON II,259,6/23/2004,11:27 PM,77,0,96,19.1598,W,27,41.3100,N,-96.319330,27.688500,0,70.8,5.01497,
OREGON II,259,6/24/2004,02:51 AM,78,0,96,0.2298,W,27,29.9100,N,-96.003830,27.498500,0,213.0,3.66310,
OREGON II,259,6/24/2004,06:23 AM,79,0,95,59.5602,W,27,48.3900,N,-95.992670,27.806500,0,62.5,5.76413,
OREGON II,259,6/24/2004,07:48 AM,80,0,95,59.9802,W,27,59.9898,N,-95.999670,27.999830,0,45.7,6.19252,
OREGON II,259,6/24/2004,10:11 AM,81,0,95,56.3400,W,28,7.3698,N,-95.939000,28.122830,0,35.4,5.97591,
OREGON II,259,6/24/2004,11:41 AM,82,0,95,59.8500,W,28,8.2098,N,-95.997500,28.136830,0,32.9,6.13009,
OREGON II,259,6/24/2004,02:22 PM,83,0,95,49.7598,W,28,7.6098,N,-95.829330,28.126830,0,38.4,5.63601,
