Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,Temperature,Fluorescence
OREGON II,276,6/7/2007,01:13 AM,1,0,88,18.2898,W,29,59.7402,N,-88.304830,29.995670,0,28.8,6.00728,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/001C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/001C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/7/2007,04:19 AM,2,0,88,1.7700,W,29,59.6700,N,-88.029500,29.994500,0,25.9,6.14920,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/002C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/002C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/7/2007,08:38 AM,3,0,88,13.8102,W,29,46.9500,N,-88.230170,29.782500,0,36.7,5.71291,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/003C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/003C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/7/2007,01:31 PM,5,0,88,0.1200,W,29,29.8602,N,-88.002000,29.497670,0,45.1,5.86727,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/005C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/005C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/11/2007,10:21 PM,7,0,88,32.5698,W,29,24.8100,N,-88.542830,29.413500,0,55.4,4.47084,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/007C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/007C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,01:37 AM,9,0,88,32.5800,W,29,25.6302,N,-88.543000,29.427170,0,54.7,4.73957,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/009C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/009C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,06:30 AM,12,0,88,30.6600,W,29,18.2502,N,-88.511000,29.304170,0,63.8,4.66913,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/012C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/012C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,10:47 AM,15,0,88,27.7800,W,29,14.9100,N,-88.463000,29.248500,0,100.8,4.60079,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/015C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/015C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,01:50 PM,16,0,88,48.6600,W,29,14.7702,N,-88.811000,29.246170,0,63.7,4.45273,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/016C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/016C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,07:16 PM,19,0,88,46.8402,W,29,6.7002,N,-88.780670,29.111670,0,84.6,3.26621,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/019C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/019C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,09:12 PM,20,0,88,46.2402,W,29,4.9998,N,-88.770670,29.083330,0,97.9,4.35941,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/020C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/020C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/12/2007,11:40 PM,21,0,88,55.0998,W,28,58.7802,N,-88.918330,28.979670,0,127.9,4.23460,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/021C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/021C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/13/2007,02:04 AM,22,0,88,48.1998,W,29,7.7100,N,-88.803330,29.128500,0,78.6,4.25852,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/022C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/022C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/13/2007,05:55 AM,23,0,88,49.0398,W,29,4.5198,N,-88.817330,29.075330,0,126.7,4.16881,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/023C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/023C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/14/2007,08:30 PM,24,0,96,29.6898,W,26,2.2302,N,-96.494830,26.037170,0,62.3,5.46677,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/024C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/024C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,12:54 AM,25,0,97,0.1098,W,26,0.8298,N,-97.001830,26.013830,0,26.7,4.02722,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/025C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/025C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,03:40 AM,26,0,96,34.0398,W,26,6.7098,N,-96.567330,26.111830,0,55.9,5.49070,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/026C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/026C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,08:55 AM,29,0,97,2.3100,W,26,7.7700,N,-97.038500,26.129500,0,23.5,5.06556,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/029C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/029C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,11:11 AM,30,0,97,0.2298,W,26,14.1102,N,-97.003830,26.235170,0,29.2,4.29512,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/030C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/030C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,11:56 AM,31,0,96,56.8500,W,26,18.2598,N,-96.947500,26.304330,0,35.2,4.49944,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/031C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/031C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,01:18 PM,32,0,96,51.2298,W,26,23.4102,N,-96.853830,26.390170,0,40.7,4.81150,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/032C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/032C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/15/2007,08:52 PM,36,0,96,31.2702,W,26,31.9002,N,-96.521170,26.531670,0,85.5,5.20540,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/036C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/036C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/16/2007,01:07 AM,37,0,96,50.0100,W,26,39.6300,N,-96.833500,26.660500,0,50.9,5.06886,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/037C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/037C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/16/2007,02:41 AM,38,0,96,35.8002,W,26,37.8300,N,-96.596670,26.630500,0,82.9,5.67942,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/038C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/038C01_proc_flS_xmiss_density.jpg
OREGON II,276,6/16/2007,06:55 AM,39,0,97,0.0402,W,26,29.9700,N,-97.000670,26.499500,0,34.8,5.47948,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Temperature/039C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2007/Fluorescence/039C01_proc_flS_xmiss_density.jpg
