Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,340,4-Jul-21,22:56:56,1,1,88,20.69,W,29,39.32,N,-88.34483333,29.65533333,38.4,40,7.5358
OREGON II,340,7-Jul-21,5:53:59,2,1,96,34.46,W,26,4.61,N,-96.57433333,26.07683333,54.8,56,6.0837
OREGON II,340,7-Jul-21,10:08:07,3,1,96,52.43,W,26,2.25,N,-96.87383333,26.0375,35.7,37,5.562
OREGON II,340,7-Jul-21,12:59:56,4,1,96,43.63,W,26,8.65,N,-96.72716667,26.14416667,45.2,43,6.3753
OREGON II,340,7-Jul-21,15:06:25,5,1,96,50.33,W,26,11.24,N,-96.83883333,26.18733333,40.2,41,5.8596
OREGON II,340,7-Jul-21,17:51:42,6,1,97,0.85,W,26,21.19,N,-97.01416667,26.35316667,29.2,30,4.981
OREGON II,340,7-Jul-21,20:17:52,7,1,96,47.27,W,26,24.56,N,-96.78783333,26.40933333,42.9,44,6.5642
OREGON II,340,7-Jul-21,22:30:47,8,1,96,37.73,W,26,30.47,N,-96.62883333,26.50783333,62.5,64,6.1822
OREGON II,340,8-Jul-21,2:32:42,9,1,97,12.42,W,26,29.23,N,-97.207,26.48716667,15.6,15,5.958
OREGON II,340,8-Jul-21,5:10:22,10,1,97,14.85,W,26,40.21,N,-97.2475,26.67016667,16.7,18,3.89
OREGON II,340,8-Jul-21,8:43:55,11,1,96,52.5,W,26,44.77,N,-96.875,26.74616667,51.7,51,6.0697
OREGON II,340,8-Jul-21,20:32:56,12,1,97,5.06,W,27,19.9,N,-97.08433333,27.33166667,27.9,28,4.2312
OREGON II,340,8-Jul-21,23:11:34,13,1,97,15.2,W,27,27.09,N,-97.25333333,27.4515,13.5,13,6.9458
OREGON II,340,9-Jul-21,0:10:43,13,2,97,14.51,W,27,24.74,N,-97.24183333,27.41233333,14.9,16,7.2747
OREGON II,340,9-Jul-21,16:21:44,14,1,97,20.13,W,27,5.86,N,-97.3355,27.09766667,16.2,15,4.9284
OREGON II,340,9-Jul-21,19:32:16,15,1,97,5.64,W,27,6.3,N,-97.094,27.105,32.6,33,4.6304
OREGON II,340,9-Jul-21,23:14:24,16,1,96,36.18,W,26,57.87,N,-96.603,26.9645,98,100,6.0349
OREGON II,340,10-Jul-21,4:05:18,17,1,96,33.45,W,27,11.05,N,-96.5575,27.18416667,95.3,97,6.0546
OREGON II,340,10-Jul-21,6:14:41,18,1,96,36.92,W,27,6.5,N,-96.61533333,27.10833333,90.6,93,5.5104
OREGON II,340,10-Jul-21,9:27:03,19,1,96,53.93,W,27,11.89,N,-96.89883333,27.19816667,48.6,49,5.4255
OREGON II,340,10-Jul-21,13:28:33,20,1,96,58.98,W,27,37.42,N,-96.983,27.62366667,24.6,25,5.7788
OREGON II,340,10-Jul-21,16:23:34,21,1,96,42.05,W,27,27.02,N,-96.70083333,27.45033333,56.6,58,5.7864
OREGON II,340,10-Jul-21,20:54:55,22,1,96,24.24,W,27,28.35,N,-96.404,27.4725,91.9,94,5.1037
OREGON II,340,11-Jul-21,0:10:52,23,1,96,23.14,W,27,42.05,N,-96.38566667,27.70083333,62.8,64,5.9765
OREGON II,340,11-Jul-21,2:47:29,24,1,96,32.26,W,27,48.77,N,-96.53766667,27.81283333,38.8,39,4.9949
OREGON II,340,11-Jul-21,6:17:12,25,1,96,25.23,W,28,2.98,N,-96.4205,28.04966667,26.9,25,3.4687
OREGON II,340,11-Jul-21,8:22:37,26,1,96,26.29,W,28,10.07,N,-96.43816667,28.16783333,21.2,21,6.6109
OREGON II,340,11-Jul-21,10:52:27,27,1,96,20.39,W,28,18.42,N,-96.33983333,28.307,17.2,17,5.9732
OREGON II,340,11-Jul-21,14:33:50,28,1,95,58.16,W,28,21.53,N,-95.96933333,28.35883333,22.9,23,1.5555
OREGON II,340,11-Jul-21,16:57:28,29,1,95,45.85,W,28,25.96,N,-95.76416667,28.43266667,24,25,1.8469
OREGON II,340,11-Jul-21,19:18:13,30,1,95,33.1,W,28,27.76,N,-95.55166667,28.46266667,26.8,28,2.7977
OREGON II,340,11-Jul-21,21:08:49,31,1,95,28.13,W,28,20.32,N,-95.46883333,28.33866667,31.4,33,5.597
OREGON II,340,12-Jul-21,0:10:47,32,1,95,44.18,W,28,7.99,N,-95.73633333,28.13316667,38.9,40,5.548
OREGON II,340,12-Jul-21,3:09:40,33,1,95,56.48,W,27,52.18,N,-95.94133333,27.86966667,58,60,6.5911
OREGON II,340,12-Jul-21,5:31:12,34,1,95,45.19,W,27,46.17,N,-95.75316667,27.7695,70.1,70,6.3146
OREGON II,340,12-Jul-21,9:33:23,35,1,95,28.4,W,28,6.23,N,-95.47333333,28.10383333,48.4,48,5.9167
OREGON II,340,12-Jul-21,12:18:18,36,1,95,15.55,W,27,59.6,N,-95.25916667,27.99333333,67.4,68,6.7724
OREGON II,340,12-Jul-21,15:27:16,37,1,95,2.39,W,28,12.01,N,-95.03983333,28.20016667,49.6,48,6.8611
OREGON II,340,12-Jul-21,19:54:10,38,1,95,23.32,W,28,42.86,N,-95.38866667,28.71433333,18.5,19,2.8561
OREGON II,340,12-Jul-21,21:20:20,39,1,95,14.43,W,28,42.27,N,-95.2405,28.7045,22.3,22,3.3717
OREGON II,340,12-Jul-21,23:30:31,40,1,95,5.81,W,28,53.07,N,-95.09683333,28.8845,19.7,20,2.498
OREGON II,340,13-Jul-21,0:51:19,41,1,95,8.52,W,28,58.91,N,-95.142,28.98183333,13.6,14,1.5217
OREGON II,340,13-Jul-21,3:40:59,42,1,94,46.48,W,29,8.01,N,-94.77466667,29.1335,16.1,16,1.882
OREGON II,340,13-Jul-21,5:23:25,43,1,94,48.43,W,29,12.02,N,-94.80716667,29.20033333,11.5,10,1.7456
OREGON II,340,13-Jul-21,9:00:59,44,1,94,29.77,W,29,2.07,N,-94.49616667,29.0345,17.9,16,4.0811
OREGON II,340,13-Jul-21,11:50:29,45,1,94,19.14,W,29,8.89,N,-94.319,29.14816667,15.9,17,3.4749
OREGON II,340,13-Jul-21,14:23:44,46,1,94,2.5,W,29,17.99,N,-94.04166667,29.29983333,14.1,13,6.5062
OREGON II,340,13-Jul-21,16:52:04,47,1,94,16.07,W,29,29.58,N,-94.26783333,29.493,12.5,13,1.3787
OREGON II,340,13-Jul-21,19:45:31,48,1,93,57.46,W,29,33.08,N,-93.95766667,29.55133333,11.2,11,1.4356
OREGON II,340,13-Jul-21,22:17:24,49,1,93,42.11,W,29,34.77,N,-93.70183333,29.5795,12,13,2.978
OREGON II,340,14-Jul-21,0:14:59,50,1,93,29,W,29,32.31,N,-93.48333333,29.5385,12.3,13,2.24
OREGON II,340,14-Jul-21,4:04:05,51,1,93,15.53,W,29,11.82,N,-93.25883333,29.197,17.5,18,6.7675
OREGON II,340,14-Jul-21,7:12:10,52,1,93,39.48,W,29,0.52,N,-93.658,29.00866667,19.6,18,5.1868
OREGON II,340,14-Jul-21,10:40:45,53,1,94,4.67,W,28,56.21,N,-94.07783333,28.93683333,20.1,19,5.2924
OREGON II,340,14-Jul-21,12:30:53,54,1,94,15.75,W,28,58.23,N,-94.2625,28.9705,19.7,19,3.06
OREGON II,340,14-Jul-21,15:26:27,55,1,94,34.6,W,28,43.52,N,-94.57666667,28.72533333,26.2,25,5.2606
OREGON II,340,14-Jul-21,16:58:49,56,1,94,41.68,W,28,47.54,N,-94.69466667,28.79233333,21.6,22,4.3858
OREGON II,340,14-Jul-21,18:53:20,57,1,94,43.66,W,28,39.02,N,-94.72766667,28.65033333,29.3,30,5.3183
OREGON II,340,14-Jul-21,21:09:41,58,1,94,54.75,W,28,27.56,N,-94.9125,28.45933333,36.2,37,5.6727
OREGON II,340,14-Jul-21,23:05:20,59,1,94,43.95,W,28,26.29,N,-94.7325,28.43816667,38.6,40,5.8231
OREGON II,340,15-Jul-21,1:16:40,60,1,94,37.4,W,28,12.71,N,-94.62333333,28.21183333,51.3,52,5.3781
OREGON II,340,15-Jul-21,4:36:43,61,1,94,22.94,W,28,19.16,N,-94.38233333,28.31933333,46.7,48,6.4726
OREGON II,340,15-Jul-21,7:21:26,62,1,94,23.62,W,28,0.44,N,-94.39366667,28.00733333,76.2,74,6.3201
OREGON II,340,15-Jul-21,10:45:23,63,1,93,57.19,W,27,59.54,N,-93.95316667,27.99233333,79,77,6.8199
OREGON II,340,15-Jul-21,13:57:46,64,1,94,10.63,W,28,12.42,N,-94.17716667,28.207,55.6,54,6.7599
OREGON II,340,15-Jul-21,16:03:54,65,1,93,56.81,W,28,17.58,N,-93.94683333,28.293,59.3,61,7.1749
OREGON II,340,15-Jul-21,18:45:24,66,1,94,6.97,W,28,31.95,N,-94.11616667,28.5325,38.1,39,6.0691
OREGON II,340,15-Jul-21,20:34:00,67,1,94,15.42,W,28,30.14,N,-94.257,28.50233333,38.6,39,7.5169
OREGON II,340,15-Jul-21,22:43:02,68,1,94,7.02,W,28,41.38,N,-94.117,28.68966667,29.4,30,6.6993
OREGON II,340,16-Jul-21,1:08:59,69,1,93,49.1,W,28,50.48,N,-93.81833333,28.84133333,23.6,25,4.7103
OREGON II,340,16-Jul-21,2:38:11,70,1,93,42.08,W,28,51.37,N,-93.70133333,28.85616667,23,24,4.321
OREGON II,340,16-Jul-21,4:21:55,71,1,93,37.14,W,28,43.65,N,-93.619,28.7275,23.6,22,7.2085
OREGON II,340,16-Jul-21,5:40:47,72,1,93,32.91,W,28,40.39,N,-93.5485,28.67316667,30.8,32,6.5569
OREGON II,340,16-Jul-21,7:12:42,73,1,93,30.75,W,28,34.47,N,-93.5125,28.5745,37.8,39,8.0678
OREGON II,340,16-Jul-21,9:59:20,74,1,93,27.44,W,28,21.35,N,-93.45733333,28.35583333,54.8,54,7.3549
OREGON II,340,16-Jul-21,11:54:03,75,1,93,36.34,W,28,18.36,N,-93.60566667,28.306,58.9,57,7.09
OREGON II,340,16-Jul-21,13:26:22,76,1,93,32.1,W,28,13.24,N,-93.535,28.22066667,64.3,65,6.086
OREGON II,340,16-Jul-21,15:20:06,77,1,93,35.93,W,28,4.3,N,-93.59883333,28.07166667,71.6,73,6.6972
OREGON II,340,16-Jul-21,17:33:15,78,1,93,25.94,W,28,7.33,N,-93.43233333,28.12216667,76.2,79,4.0597
OREGON II,340,16-Jul-21,20:14:55,79,1,93,7.99,W,28,8.6,N,-93.13316667,28.14333333,76.5,78,5.5411
OREGON II,340,16-Jul-21,22:23:00,80,1,92,57.05,W,28,9.64,N,-92.95083333,28.16066667,74.9,76,6.0254
OREGON II,340,17-Jul-21,1:14:27,81,1,92,34.97,W,28,3.39,N,-92.58283333,28.0565,103.8,106,5.3907
OREGON II,340,17-Jul-21,4:20:48,82,1,92,30.23,W,28,17.92,N,-92.50383333,28.29866667,61.9,61,7.368
OREGON II,340,17-Jul-21,7:04:48,83,1,92,28.76,W,28,32.17,N,-92.47933333,28.53616667,45.9,44,7.2436
OREGON II,340,17-Jul-21,9:53:35,84,1,92,49.04,W,28,39.38,N,-92.81733333,28.65633333,35.7,33,7.3906
