Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,Temperature,Fluorescence
OREGON II,282,6/19/2008,04:53 PM,56,0,97,16.9500,W,27,5.1198,N,-97.282500,27.085330,0,20.7,4.03209,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/056C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/056C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/19/2008,07:21 PM,57,0,97,18.5100,W,27,13.7100,N,-97.308500,27.228500,0,15.4,5.47809,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/057C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/057C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/19/2008,08:26 PM,58,0,97,16.8600,W,27,15.4098,N,-97.281000,27.256830,0,17.5,5.22701,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/058C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/058C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/19/2008,09:50 PM,59,0,97,9.3798,W,27,25.3602,N,-97.156330,27.422670,0,22.4,4.44042,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/059C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/059C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/19/2008,11:52 PM,60,0,96,59.9298,W,27,29.4798,N,-96.998830,27.491330,0,28.3,4.07235,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/060C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/060C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,01:58 AM,61,0,97,8.7498,W,27,18.2298,N,-97.145830,27.303830,0,25.8,5.90539,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/061C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/061C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,04:06 AM,62,0,97,16.1400,W,27,11.8500,N,-97.269000,27.197500,0,20.3,5.02850,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/062C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/062C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,06:31 AM,63,0,97,12.0600,W,27,0.0300,N,-97.201000,27.000500,0,26.8,6.05954,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/063C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/063C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,09:12 AM,64,0,97,5.0802,W,27,9.4200,N,-97.084670,27.157000,0,32.7,6.07381,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/064C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/064C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,12:16 PM,66,0,96,49.1898,W,27,15.0198,N,-96.819830,27.250330,0,55.9,5.51585,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/066C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/066C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,05:28 PM,68,0,96,29.8902,W,27,29.7900,N,-96.498170,27.496500,0,74.2,4.37029,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/068C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/068C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/20/2008,07:55 PM,69,0,96,21.0798,W,27,38.3100,N,-96.351330,27.638500,0,74.1,4.57396,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/069C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/069C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,01:11 AM,70,0,96,50.0898,W,27,13.4400,N,-96.834830,27.224000,0,54.9,4.97120,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/070C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/070C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,05:35 AM,72,0,96,38.1498,W,27,26.1000,N,-96.635830,27.435000,0,64.1,4.27862,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/072C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/072C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,10:14 AM,74,0,96,53.5002,W,27,38.5098,N,-96.891670,27.641830,0,28.3,4.01446,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/074C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/074C01_proc_flS_xmiss_density.jpg
OREGON II,282,6/21/2008,12:50 PM,75,0,96,43.2102,W,27,47.7798,N,-96.720170,27.796330,0,29.3,4.52315,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Temperature/075C01_proc.jpg,https://www.ncei.noaa.gov/waf/hypoxia-waf/documents/hypoxia/DataPlots/2008Summer/Fluorescence/075C01_proc_flS_xmiss_density.jpg
