Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,348,6/14/2023,21:53:35,1,1,-88,18.54,W,30,7.94,N,-88.309000,30.132333,19.10,19,3.9098
OREGON II,348,6/15/2023,00:39:08,2,1,-88,9.97,W,30,5.26,N,-88.166167,30.087667,20.10,18,4.5240
OREGON II,348,6/15/2023,04:08:05,3,1,-88,25.24,W,29,47.16,N,-88.420667,29.786000,35.90,35,5.6118
OREGON II,348,6/15/2023,07:25:27,4,1,-88,29.08,W,29,32.94,N,-88.484667,29.549000,47.80,46,3.4828
OREGON II,348,6/15/2023,10:01:01,5,1,-88,21.13,W,29,27.26,N,-88.352167,29.454333,54.40,52,3.8797
OREGON II,348,6/15/2023,12:52:00,6,1,-88,15.24,W,29,37.71,N,-88.254000,29.628500,40.40,39,6.2338
OREGON II,348,6/15/2023,15:04:47,7,1,-88,12.67,W,29,31.55,N,-88.211167,29.525833,44.10,42,5.9042
OREGON II,348,6/15/2023,18:08:27,8,1,-87,56.19,W,29,22.05,N,-87.936500,29.367500,84.40,84,5.6019
OREGON II,348,6/16/2023,00:26:54,9,1,-87,27.12,W,29,50.45,N,-87.452000,29.840833,34.10,34,7.0023
OREGON II,348,6/24/2023,22:32:22,10,1,-88,13.07,W,30,12.80,N,-88.217833,30.213333,12.70,11,4.0702
OREGON II,348,6/25/2023,02:48:40,11,1,-88,4.86,W,29,44.44,N,-88.081000,29.740667,37.20,37,6.0983
OREGON II,348,6/25/2023,06:02:44,12,1,-88,29.25,W,29,37.84,N,-88.487500,29.630667,41.60,41,5.1654
OREGON II,348,6/25/2023,08:25:58,13,1,-88,43.16,W,29,40.59,N,-88.719333,29.676500,16.20,16,5.6581
OREGON II,348,6/25/2023,10:19:48,14,1,-88,39.73,W,29,35.23,N,-88.662167,29.587167,17.90,18,5.0467
OREGON II,348,6/25/2023,12:04:48,15,1,-88,41.91,W,29,29.70,N,-88.698500,29.495000,23.90,23,4.6968
OREGON II,348,6/25/2023,14:16:24,16,1,-88,51.27,W,29,21.12,N,-88.854500,29.352000,32.20,31,4.9463
OREGON II,348,6/25/2023,16:40:40,17,1,-88,40.22,W,29,12.74,N,-88.670333,29.212333,72.80,73,5.7048
OREGON II,348,6/25/2023,19:49:39,18,1,-88,40.37,W,29,12.78,N,-88.672833,29.213000,72.40,71,5.6151
OREGON II,348,6/25/2023,23:42:39,19,1,-89,3.35,W,28,57.05,N,-89.055833,28.950833,76.50,75,4.8637
OREGON II,348,6/26/2023,02:46:52,20,1,-89,23.24,W,28,53.01,N,-89.387333,28.883500,40.40,38,5.2932
OREGON II,348,6/26/2023,07:15:12,21,1,-89,36.60,W,28,53.26,N,-89.610000,28.887667,66.30,66,3.1473
OREGON II,348,6/26/2023,09:25:09,22,1,-89,34.19,W,28,45.35,N,-89.569833,28.755833,90.50,90,3.1419
OREGON II,348,6/30/2023,00:46:25,23,1,-87,42.97,W,30,5.54,N,-87.716167,30.092333,17.50,16,6.1140
OREGON II,348,6/30/2023,03:50:54,24,1,-87,31.62,W,29,55.73,N,-87.527000,29.928833,33.90,33,6.2903
OREGON II,348,6/30/2023,05:26:47,25,1,-87,30.89,W,29,49.43,N,-87.514833,29.823833,40.00,38,6.3714
OREGON II,348,6/30/2023,08:38:11,26,1,-87,12.14,W,29,59.29,N,-87.202333,29.988167,32.50,32,5.8699
OREGON II,348,6/30/2023,10:18:17,27,1,-87,14.42,W,30,6.36,N,-87.240333,30.106000,29.30,28,5.9986
OREGON II,348,6/30/2023,12:19:40,28,1,-87,2.43,W,30,8.06,N,-87.040500,30.134333,26.20,26,6.0578
OREGON II,348,6/30/2023,13:52:10,29,1,-86,56.46,W,30,10.27,N,-86.941000,30.171167,30.20,31,5.8947
OREGON II,348,6/30/2023,16:11:28,30,1,-86,41.83,W,30,6.35,N,-86.697167,30.105833,48.60,47,5.7937
OREGON II,348,6/30/2023,19:19:40,31,1,-86,29.97,W,29,54.51,N,-86.499500,29.908500,79.80,80,4.9263
OREGON II,348,6/30/2023,22:20:40,32,1,-86,10.85,W,29,52.40,N,-86.180833,29.873333,48.50,47,6.4491
OREGON II,348,7/1/2023,00:08:17,33,1,-86,13.07,W,29,43.54,N,-86.217833,29.725667,55.20,55,6.0770
OREGON II,348,7/1/2023,02:25:34,34,1,-86,6.25,W,29,31.31,N,-86.104167,29.521833,80.00,79,4.5282
OREGON II,348,7/1/2023,04:41:22,35,1,-85,52.66,W,29,27.98,N,-85.877667,29.466333,46.30,46,6.6450
OREGON II,348,7/1/2023,06:42:38,36,1,-85,41.06,W,29,33.88,N,-85.684333,29.564667,30.70,30,6.9963
OREGON II,348,7/1/2023,09:00:21,37,1,-85,53.08,W,29,42.64,N,-85.884667,29.710667,39.50,39,6.6091
OREGON II,348,7/1/2023,10:44:12,38,1,-85,45.15,W,29,45.85,N,-85.752500,29.764167,33.00,33,6.7059
OREGON II,348,7/1/2023,12:52:33,39,1,-85,52.53,W,29,55.61,N,-85.875500,29.926833,34.50,35,6.6430
OREGON II,348,7/1/2023,15:58:21,40,1,-86,13.71,W,30,6.04,N,-86.228500,30.100667,35.90,35,6.0958
OREGON II,348,7/1/2023,19:16:04,41,1,-86,28.44,W,30,19.72,N,-86.474000,30.328667,22.30,21,6.7237
OREGON II,348,7/2/2023,00:06:57,42,1,-86,54.40,W,30,18.33,N,-86.906667,30.305500,23.10,22,5.3616
OREGON II,348,7/11/2023,18:36:02,43,1,-90,1.65,W,28,27.02,N,-90.027500,28.450333,83.50,83,4.0430
