Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
Oregon II,332,6/9/2019,5:29:05,1,1,96,34.93,W,26,54.49,N,-96.58216667,26.90816667,107.2,103,5.3419
Oregon II,332,6/9/2019,8:42:48,2,1,96,41.48,W,26,41.79,N,-96.69133333,26.6965,74.5,73,5.4673
Oregon II,332,6/9/2019,11:06:08,3,1,96,48.25,W,26,40.55,N,-96.80416667,26.67583333,56.6,56,5.2534
Oregon II,332,6/9/2019,13:44:32,4,1,96,37.85,W,26,30.57,N,-96.63083333,26.5095,63.4,63,5.2451
Oregon II,332,6/9/2019,15:34:48,5,1,96,30.34,W,26,30.58,N,-96.50566667,26.50966667,87.9,83,5.4081
Oregon II,332,6/9/2019,17:42:39,6,1,96,21.37,W,26,24.93,N,-96.35616667,26.4155,109.6,108,4.5518
Oregon II,332,6/9/2019,19:55:36,7,1,96,27.74,W,26,20.04,N,-96.46233333,26.334,72.8,73,5.289
Oregon II,332,6/9/2019,22:09:25,8,1,96,34.06,W,26,11.74,N,-96.56766667,26.19566667,54.2,55,5.9664
Oregon II,332,6/10/2019,0:56:35,9,1,96,49.21,W,26,4.7,N,-96.82016667,26.07833333,41.7,43,4.2894
Oregon II,332,6/10/2019,5:12:05,10,1,97,4.87,W,26,26.53,N,-97.08116667,26.44216667,22.2,20,3.0864
Oregon II,332,6/10/2019,7:34:28,11,1,97,13.84,W,26,35.96,N,-97.23066667,26.59933333,16.5,15,2.8062
Oregon II,332,6/10/2019,9:33:14,12,1,97,14.02,W,26,46.64,N,-97.23366667,26.77733333,21.7,20,3.2327
Oregon II,332,6/10/2019,13:11:59,13,1,97,17.74,W,26,51.59,N,-97.29566667,26.85983333,18.2,17,2.1323
Oregon II,332,6/10/2019,14:54:41,14,1,97,9.7,W,26,51.43,N,-97.16166667,26.85716667,29.1,28,3.8668
Oregon II,332,6/10/2019,17:49:57,15,1,97,19.75,W,27,5.87,N,-97.32916667,27.09783333,15.8,17,2.2486
Oregon II,332,6/10/2019,19:53:12,16,1,97,9.71,W,27,11.56,N,-97.16183333,27.19266667,27,28,3.8787
Oregon II,332,6/10/2019,22:54:24,17,1,96,51.13,W,27,6.16,N,-96.85216667,27.10266667,57.7,60,4.9928
Oregon II,332,6/11/2019,2:37:10,18,1,96,33.82,W,27,8.76,N,-96.56366667,27.146,97.2,100,5.4085
Oregon II,332,6/11/2019,4:25:49,19,1,96,35.32,W,27,14.01,N,-96.58866667,27.2335,88.1,89,5.2309
Oregon II,332,6/11/2019,7:49:40,20,1,96,54.78,W,27,17.31,N,-96.913,27.2885,43.3,43,4.5198
Oregon II,332,6/11/2019,10:26:31,21,1,97,3.3,W,27,28.57,N,-97.055,27.47616667,25.7,24,4.2622
Oregon II,332,6/11/2019,13:32:40,22,1,96,45.9,W,27,33.35,N,-96.765,27.55583333,41.7,41,5.197
Oregon II,332,6/11/2019,17:26:39,23,1,97,0.32,W,27,42.09,N,-97.00533333,27.7015,20.1,21,2.4822
Oregon II,332,6/11/2019,21:03:34,24,1,96,50.81,W,27,53.46,N,-96.84683333,27.891,19.4,20,1.4793
Oregon II,332,6/11/2019,23:23:14,25,1,96,42.58,W,27,44.79,N,-96.70966667,27.7465,32.8,33,3.6964
Oregon II,332,6/12/2019,8:08:04,27,1,96,17.57,W,27,36.92,N,-96.29283333,27.61533333,86.9,85,4.8894
Oregon II,332,6/12/2019,10:41:48,28,1,96,4.61,W,27,43.15,N,-96.07683333,27.71916667,87.6,86,5.5302
Oregon II,332,6/12/2019,13:29:43,29,1,95,49.32,W,27,45.12,N,-95.822,27.752,72.2,73,5.6576
Oregon II,332,6/12/2019,16:50:13,30,1,96,15.74,W,27,45.76,N,-96.26233333,27.76266667,66.3,65,4.7566
Oregon II,332,6/13/2019,18:34:14,31,1,96,23.46,W,27,43.87,N,-96.391,27.73116667,59.7,60,5.1062
Oregon II,332,6/14/2019,20:31:56,32,1,96,25.46,W,27,54.76,N,-96.42433333,27.91266667,37.4,38,3.3542
Oregon II,332,6/15/2019,21:57:23,33,1,96,32.5,W,27,51.42,N,-96.54166667,27.857,35.1,36,3.4227
Oregon II,332,6/13/2019,0:51:39,34,1,96,28.1,W,28,7.96,N,-96.46833333,28.13266667,21.5,22,1.5696
Oregon II,332,6/13/2019,1:54:13,34,2,96,28.21,W,28,10.15,N,-96.47016667,28.16916667,19.5,21,1.1599
Oregon II,332,6/13/2019,4:16:10,35,1,96,6.53,W,28,20.5,N,-96.10883333,28.34166667,21.2,22,0.7506
Oregon II,332,6/13/2019,5:39:24,35,2,96,3.96,W,28,18.84,N,-96.066,28.314,23,21,1.5507
Oregon II,332,6/13/2019,9:56:51,36,1,96,0.87,W,28,15.35,N,-96.0145,28.25583333,24.5,23,4.6446
Oregon II,332,6/13/2019,13:16:20,37,1,95,50.7,W,28,16.34,N,-95.845,28.27233333,27,26,1.5983
Oregon II,332,6/14/2019,4:16:55,42,1,95,22.15,W,27,59.14,N,-95.36916667,27.98566667,61.4,62,5.3628
Oregon II,332,6/14/2019,7:16:51,43,1,95,18.81,W,28,15.45,N,-95.3135,28.2575,40.2,39,3.872
Oregon II,332,6/14/2019,9:10:37,44,1,95,10.89,W,28,12.73,N,-95.1815,28.21216667,47.2,47,4.3776
Oregon II,332,6/14/2019,11:18:12,45,1,95,11.08,W,28,18.68,N,-95.18466667,28.31133333,38.2,37,4.9895
Oregon II,332,6/14/2019,13:18:32,46,1,95,16.61,W,28,20.73,N,-95.27683333,28.3455,34.7,33,3.9272
Oregon II,332,6/14/2019,15:03:57,47,1,95,17.68,W,28,28.07,N,-95.29466667,28.46783333,32.7,33,4.1068
