Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,295,7-Jun-11,23:53:58,1,1,88,35.46,W,29,37.02,N,-88.591,29.617,22.4,22,2.48625
OREGON II,295,8-Jun-11,0:55:36,2,1,88,39.08,W,29,31.19,N,-88.651333,29.519833,27.9,27,2.31701
OREGON II,295,8-Jun-11,2:05:32,3,1,88,44.26,W,29,26.46,N,-88.737667,29.441,28.7,29,4.48189
OREGON II,295,25-Jun-11,22:13:57,4,1,96,30.14,W,26,3.08,N,-96.502333,26.051333,60.4,59,5.77451
OREGON II,295,26-Jun-11,0:02:09,5,1,96,35.06,W,26,13.89,N,-96.584333,26.2315,52.5,48,6.1065
OREGON II,295,26-Jun-11,4:00:53,6,1,97,0.09,W,25,59.93,N,-97.0015,25.998833,26.6,24,5.15246
OREGON II,295,26-Jun-11,6:07:16,7,1,97,5.65,W,26,8.59,N,-97.094167,26.143167,19,18,5.11256
OREGON II,295,26-Jun-11,9:16:06,8,1,97,8.1,W,26,26.35,N,-97.135,26.439167,18.8,18,4.75793
OREGON II,295,26-Jun-11,11:03:14,9,1,97,0.04,W,26,29.78,N,-97.000667,26.496333,34.8,32,4.71885
OREGON II,295,26-Jun-11,14:34:55,10,1,96,30.35,W,26,29.9,N,-96.505833,26.498333,80.4,80,5.14743
OREGON II,295,26-Jun-11,17:07:26,11,1,96,26.19,W,26,34.71,N,-96.4365,26.5785,109,106,3.99181
OREGON II,295,26-Jun-11,20:05:37,12,1,96,36.13,W,26,42.95,N,-96.602167,26.715833,94,93,4.32775
OREGON II,295,26-Jun-11,22:43:49,13,1,96,32.63,W,26,39.61,N,-96.543833,26.660167,97.5,96,4.41446
OREGON II,295,26-Jun-11,23:57:43,14,1,96,44.78,W,26,42.46,N,-96.746333,26.707667,64.4,63,4.45465
OREGON II,295,27-Jun-11,1:52:54,15,1,96,48.23,W,26,39.5,N,-96.803833,26.658333,54.5,51,4.66952
OREGON II,295,27-Jun-11,6:36:11,16,1,97,12.9,W,26,35.55,N,-97.215,26.5925,17.5,16,6.22037
OREGON II,295,27-Jun-11,8:01:48,17,1,97,9.75,W,26,45.84,N,-97.1625,26.764,28.4,28,4.67182
OREGON II,295,27-Jun-11,9:43:02,18,1,97,4.29,W,26,49.32,N,-97.0715,26.822,34.6,34,4.9166
