Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,318,9-Jun-16,22:06:09,1,1,96,29.59,W,26,29.32,N,-96.493167,26.488667,82,80,5.7969
OREGON II,318,9-Jun-16,23:45:30,2,1,96,40.85,W,26,21.42,N,-96.680833,26.357,47,47,5.0604
OREGON II,318,10-Jun-16,2:10:52,3,1,96,30.15,W,26,18.62,N,-96.5025,26.310333,64.6,63,5.97383
OREGON II,318,10-Jun-16,3:47:29,4,1,96,24.96,W,26,14.17,N,-96.416,26.236167,72.4,71,6.314
OREGON II,318,10-Jun-16,5:40:49,5,1,96,24.58,W,26,7.93,N,-96.409667,26.132167,74.9,76,6.3036
OREGON II,318,10-Jun-16,6:58:12,6,1,96,25.41,W,26,4.37,N,-96.4235,26.072833,73.6,72,6.2453
OREGON II,318,10-Jun-16,9:23:53,7,1,96,30.17,W,26,3.03,N,-96.502833,26.0505,61.5,57,6.1251
OREGON II,318,10-Jun-16,12:15:26,8,1,96,30.25,W,26,12.37,N,-96.504167,26.206167,62.9,59,6.154
OREGON II,318,10-Jun-16,14:51:08,9,1,96,41.52,W,26,11.85,N,-96.692,26.1975,46.8,44,5.1753
OREGON II,318,10-Jun-16,18:25:33,10,1,97,0.41,W,25,59.46,N,-97.006833,25.991,27,26,3.7404
OREGON II,318,10-Jun-16,20:56:53,11,1,97,1.26,W,26,13.76,N,-97.021,26.229333,25.9,24,4.74336
OREGON II,318,10-Jun-16,23:16:40,12,1,96,56.59,W,26,20.58,N,-96.943167,26.343,36.4,36,3.3349
OREGON II,318,11-Jun-16,1:57:41,13,1,97,9.48,W,26,21.96,N,-97.158,26.366,17.5,16,6.6011
OREGON II,318,11-Jun-16,4:09:37,14,1,97,8.03,W,26,29.56,N,-97.133833,26.492667,20,20,5.4767
OREGON II,318,11-Jun-16,5:42:56,15,1,97,4.93,W,26,27.79,N,-97.082167,26.463167,22.4,20,5.7065
OREGON II,318,11-Jun-16,7:53:25,16,1,97,0.26,W,26,29.78,N,-97.004333,26.496333,34.4,32,3.2326
OREGON II,318,11-Jun-16,11:48:03,17,1,96,34.5,W,26,50.98,N,-96.575,26.849667,105.9,103,4.8624
OREGON II,318,11-Jun-16,15:06:52,18,1,96,43.62,W,26,52.74,N,-96.727,26.879,78.7,76,5.1939
OREGON II,318,11-Jun-16,17:58:54,19,1,96,39.93,W,26,59.79,N,-96.6655,26.9965,87.3,86,5.18967
OREGON II,318,11-Jun-16,19:47:21,20,1,96,53.75,W,27,0.31,N,-96.895833,27.005167,53.7,53,4.15735
OREGON II,318,11-Jun-16,23:13:12,21,1,96,59.89,W,27,0.26,N,-96.998167,27.004333,41.9,41,3.28352
OREGON II,318,12-Jun-16,0:05:45,22,1,97,2.42,W,27,4.76,N,-97.040333,27.079333,37.1,34,2.72674
OREGON II,318,12-Jun-16,2:53:09,23,1,97,11.85,W,27,0.03,N,-97.1975,27.0005,27.4,26,0.82171
OREGON II,318,12-Jun-16,4:18:49,24,1,97,15.65,W,27,9.32,N,-97.260833,27.155333,21.7,21,0.30033
