Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,246,6/13/2001,02:17:46 AM,1,0,87,59.80,W,29,59.88,N,-87.996667,29.998000,22.7,23,3.7157
OREGON II,246,6/13/2001,01:44:31 PM,5,0,87,59.14,W,29,29.58,N,-87.985667,29.493000,45.7,45,5.5351
OREGON II,246,7/11/2001,03:47:16 PM,6,0,96,26.62,W,26,29.65,N,-96.443667,26.494167,91.4,93,3.7097
OREGON II,246,7/11/2001,09:48:08 PM,7,1,96,54.36,W,26,9.77,N,-96.906000,26.162833,36.6,37,5.3017
OREGON II,246,7/11/2001,11:54:18 PM,8,0,96,58.43,W,26,12.65,N,-96.973833,26.210833,29.3,28,5.7809
OREGON II,246,7/12/2001,01:03:41 AM,9,0,96,58.19,W,26,6.19,N,-96.969833,26.103167,29.3,29,5.5580
OREGON II,246,7/12/2001,03:50:50 AM,10,0,97,2.68,W,26,12.39,N,-97.044667,26.206500,20.1,21,5.6954
OREGON II,246,7/12/2001,08:05:18 AM,11,0,96,30.29,W,26,15.42,N,-96.504833,26.257000,64.1,64,5.4521
OREGON II,246,7/12/2001,01:50:22 PM,12,1,97,4.28,W,26,7.52,N,-97.071333,26.125333,20.1,20,5.8043
OREGON II,246,7/12/2001,03:32:08 PM,13,0,97,9.12,W,26,11.10,N,-97.152000,26.185000,11.0,13,5.3752
OREGON II,246,7/12/2001,05:44:29 PM,14,0,97,2.56,W,26,23.47,N,-97.042667,26.391167,26.4,26,5.7861
OREGON II,246,7/13/2001,12:45:27 AM,15,1,96,28.20,W,26,30.81,N,-96.470000,26.513500,91.4,91,3.8572
OREGON II,246,7/13/2001,02:47:33 AM,16,0,96,34.97,W,26,32.05,N,-96.582833,26.534167,73.2,76,3.4765
OREGON II,246,7/13/2001,04:41:41 AM,17,0,96,41.43,W,26,31.94,N,-96.690500,26.532333,56.5,58,4.0659
OREGON II,246,7/13/2001,08:03:08 AM,18,0,96,58.49,W,26,42.38,N,-96.974833,26.706333,40.0,40,4.9591
OREGON II,246,7/13/2001,12:00:16 PM,20,0,96,53.58,W,26,58.69,N,-96.893000,26.978167,55.4,55,5.4775
OREGON II,246,7/13/2001,05:04:41 PM,22,1,97,14.97,W,26,52.55,N,-97.249500,26.875833,23.4,23,5.4975
OREGON II,246,7/13/2001,07:06:10 PM,23,0,97,14.40,W,26,45.91,N,-97.240000,26.765167,20.3,20,5.6465
OREGON II,246,7/14/2001,01:09:09 AM,24,1,97,16.27,W,26,38.42,N,-97.271167,26.640333,14.6,13,5.4296
OREGON II,246,7/14/2001,03:10:30 AM,25,0,97,14.72,W,26,50.56,N,-97.245333,26.842667,23.8,21,5.5824
OREGON II,246,7/14/2001,04:47:22 AM,26,0,97,11.64,W,26,53.75,N,-97.194000,26.895833,27.4,28,5.4772
OREGON II,246,7/14/2001,07:23:13 AM,27,0,97,19.42,W,26,57.67,N,-97.323667,26.961167,16.8,17,5.6592
OREGON II,246,7/14/2001,11:32:48 AM,28,0,96,47.24,W,27,10.70,N,-96.787333,27.178333,64.3,64,5.1367
OREGON II,246,7/14/2001,04:26:40 PM,30,1,97,8.62,W,27,7.94,N,-97.143667,27.132333,29.3,30,5.6150
OREGON II,246,7/14/2001,06:08:06 PM,31,0,97,10.42,W,27,11.32,N,-97.173667,27.188667,26.4,26,6.0596
OREGON II,246,7/14/2001,08:19:27 PM,32,0,97,14.55,W,27,21.81,N,-97.242500,27.363500,16.9,17,6.2699
OREGON II,246,7/14/2001,10:07:19 PM,33,0,97,12.08,W,27,28.60,N,-97.201333,27.476667,16.5,16,6.2656
OREGON II,246,7/15/2001,03:00:49 AM,34,1,97,10.76,W,26,59.38,N,-97.179333,26.989667,27.4,28,5.6602
OREGON II,246,7/15/2001,05:18:28 AM,35,0,97,20.95,W,27,6.55,N,-97.349167,27.109167,13.2,13,6.0676
OREGON II,246,7/15/2001,06:34:00 AM,36,0,97,17.37,W,27,9.55,N,-97.289500,27.159167,18.6,18,5.6882
OREGON II,246,7/15/2001,08:41:06 AM,37,0,97,16.09,W,27,21.03,N,-97.268167,27.350500,15.0,15,6.0619
OREGON II,246,7/15/2001,11:35:08 AM,38,0,97,11.97,W,27,33.14,N,-97.199500,27.552333,12.9,13,6.0861
OREGON II,246,7/15/2001,01:38:15 PM,39,0,97,7.55,W,27,42.11,N,-97.125833,27.701833,9.1,12,5.9612
OREGON II,246,7/15/2001,03:41:12 PM,40,1,97,0.07,W,27,30.17,N,-97.001167,27.502833,27.8,28,6.2637
OREGON II,246,7/15/2001,05:19:34 PM,41,0,96,50.80,W,27,32.20,N,-96.846667,27.536667,36.7,37,6.2044
OREGON II,246,7/15/2001,08:21:53 PM,42,0,96,33.52,W,27,21.55,N,-96.558667,27.359167,83.3,83,3.9928
OREGON II,246,7/16/2001,12:18:18 AM,44,1,96,33.45,W,27,22.58,N,-96.557500,27.376333,82.3,82,3.5888
OREGON II,246,7/19/2001,02:29:24 AM,46,0,94,28.93,W,29,3.17,N,-94.482167,29.052833,16.9,17,3.7810
OREGON II,246,7/19/2001,05:58:03 AM,47,0,94,27.06,W,28,52.05,N,-94.451000,28.867500,22.5,21,1.5290
OREGON II,246,7/19/2001,11:45:02 AM,48,0,95,11.70,W,28,39.75,N,-95.195000,28.662500,25.2,25,3.4668
OREGON II,246,7/19/2001,01:01:23 PM,49,0,95,7.45,W,28,48.32,N,-95.124167,28.805333,20.7,21,2.6032
OREGON II,246,7/19/2001,04:50:38 PM,50,1,95,33.46,W,28,45.68,N,-95.557667,28.761333,9.0,9,5.3365
OREGON II,246,7/19/2001,08:04:41 PM,51,0,95,24.55,W,28,23.10,N,-95.409167,28.385000,31.0,31,5.2650
OREGON II,246,7/19/2001,10:46:42 PM,52,0,95,38.37,W,28,9.27,N,-95.639500,28.154500,40.2,40,5.6068
OREGON II,246,7/20/2001,03:00:06 AM,53,0,96,6.18,W,28,1.45,N,-96.103000,28.024167,40.0,41,6.0976
OREGON II,246,7/20/2001,07:30:21 AM,54,0,96,19.30,W,28,21.37,N,-96.321667,28.356167,12.9,11,5.9043
OREGON II,246,7/20/2001,10:11:40 AM,55,0,96,20.75,W,27,59.12,N,-96.345833,27.985333,35.5,34,6.2849
OREGON II,246,7/20/2001,01:11:42 PM,56,0,96,39.83,W,27,48.73,N,-96.663833,27.812167,32.0,31,5.9941
OREGON II,246,7/20/2001,03:55:01 PM,57,1,96,27.75,W,27,38.23,N,-96.462500,27.637167,64.2,64,4.9567
OREGON II,246,7/20/2001,07:26:06 PM,58,0,96,14.67,W,27,55.84,N,-96.244500,27.930667,45.8,46,6.0551
OREGON II,246,7/20/2001,10:04:47 PM,59,0,96,8.40,W,28,4.13,N,-96.140000,28.068833,34.9,34,6.1864
OREGON II,246,7/21/2001,04:20:03 AM,60,0,95,0.09,W,28,2.91,N,-95.001500,28.048500,73.0,72,4.0283
OREGON II,246,7/21/2001,09:46:56 AM,61,0,94,23.20,W,28,11.50,N,-94.386667,28.191667,55.1,55,5.7340
OREGON II,246,7/21/2001,12:27:15 PM,62,0,94,22.30,W,28,3.54,N,-94.371667,28.059000,64.4,63,5.6098
OREGON II,246,7/21/2001,03:33:33 PM,63,1,94,39.30,W,28,0.99,N,-94.655000,28.016500,72.5,72,4.7433
OREGON II,246,7/21/2001,08:40:40 PM,64,0,94,46.94,W,28,38.92,N,-94.782333,28.648667,29.0,29,5.5171
OREGON II,246,7/21/2001,11:47:02 PM,65,0,94,41.66,W,28,54.90,N,-94.694333,28.915000,18.7,19,3.8922
OREGON II,246,7/22/2001,03:50:44 AM,66,1,94,9.58,W,28,35.21,N,-94.159667,28.586833,34.6,34,3.8589
OREGON II,246,7/22/2001,06:26:48 AM,67,0,94,7.06,W,28,41.64,N,-94.117667,28.694000,29.2,29,3.6269
OREGON II,246,7/22/2001,10:23:39 AM,68,0,94,10.27,W,29,9.07,N,-94.171167,29.151167,10.0,12,5.7610
OREGON II,246,7/22/2001,01:09:15 PM,69,1,93,23.14,W,29,2.62,N,-93.385667,29.043667,22.0,22,1.3565
OREGON II,246,7/22/2001,06:58:24 PM,70,1,93,11.43,W,29,20.44,N,-93.190500,29.340667,16.6,16,0.0967
OREGON II,246,7/22/2001,10:15:01 PM,71,1,92,59.87,W,29,30.06,N,-92.997833,29.501000,13.7,13,0.3571
OREGON II,246,7/23/2001,03:15:14 AM,72,0,93,29.16,W,29,29.85,N,-93.486000,29.497500,10.3,10,0.1972
OREGON II,246,7/23/2001,07:25:00 AM,73,0,92,59.94,W,29,0.55,N,-92.999000,29.009167,24.6,25,3.4394
OREGON II,246,7/23/2001,10:24:24 AM,74,0,92,30.05,W,29,0.06,N,-92.500833,29.001000,26.0,26,1.2232
OREGON II,246,7/23/2001,01:50:03 PM,75,1,92,30.09,W,28,30.25,N,-92.501500,28.504167,50.9,50,5.1477
OREGON II,246,7/23/2001,04:49:16 PM,76,1,93,0.14,W,28,30.28,N,-93.002333,28.504667,46.1,46,4.5180
OREGON II,246,7/23/2001,07:55:00 PM,77,1,93,30.01,W,28,30.08,N,-93.500167,28.501333,43.7,44,3.8188
OREGON II,246,7/23/2001,11:50:47 PM,78,1,93,30.04,W,28,0.11,N,-93.500667,28.001833,94.3,95,3.9205
OREGON II,246,7/24/2001,03:09:23 AM,79,0,92,59.69,W,28,0.25,N,-92.994833,28.004167,108.5,108,4.0404
OREGON II,246,7/24/2001,06:36:52 AM,80,0,92,30.18,W,28,0.30,N,-92.503000,28.005000,107.7,108,4.3660
OREGON II,246,7/24/2001,11:20:54 AM,81,1,91,49.12,W,28,26.04,N,-91.818667,28.434000,57.7,56,5.1249
OREGON II,246,7/24/2001,02:06:27 PM,82,1,91,23.11,W,28,44.62,N,-91.385167,28.743667,21.1,21,0.6996
OREGON II,246,7/24/2001,05:03:39 PM,83,1,90,47.94,W,28,44.95,N,-90.799000,28.749167,18.9,19,0.5049
OREGON II,246,7/24/2001,06:54:28 PM,84,1,90,29.58,W,28,45.05,N,-90.493000,28.750833,18.3,19,0.8151
OREGON II,246,7/24/2001,08:57:55 PM,85,1,90,11.01,W,28,44.98,N,-90.183500,28.749667,34.4,34,1.9705
OREGON II,246,7/24/2001,10:43:07 PM,86,0,89,55.00,W,28,45.02,N,-89.916667,28.750333,53.8,53,4.1118
OREGON II,246,7/25/2001,12:29:53 AM,87,0,89,38.09,W,28,44.97,N,-89.634833,28.749500,87.8,87,4.0016
