Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL,SEAMAP
OREGON II,250,6/12/2002,01:30 AM,1,0,88,26.9700,W,30,1.1880,N,-88.449500,30.019800,0,25.3,5.5300,B178
OREGON II,250,6/12/2002,04:46 AM,2,0,88,16.5180,W,30,0.4320,N,-88.275300,30.007200,0,26.5,6.1600,EN11
OREGON II,250,6/12/2002,07:47 AM,3,0,88,5.8920,W,29,41.8020,N,-88.098200,29.696700,0,38.5,4.9500,EN15
OREGON II,250,6/12/2002,01:37 PM,4,0,88,30.3780,W,29,12.5280,N,-88.506300,29.208800,0,124.4,4.0900,B323
OREGON II,250,6/12/2002,03:45 PM,5,0,88,41.0880,W,29,7.8900,N,-88.684800,29.131500,0,90.8,4.8300,ED23
OREGON II,250,6/12/2002,06:03 PM,6,0,88,45.1380,W,29,8.6580,N,-88.752300,29.144300,0,79.8,5.0900,ED22
OREGON II,250,6/12/2002,09:11 PM,7,0,89,0.0480,W,28,59.8320,N,-89.000800,28.997200,0,72.0,4.8300,B183
OREGON II,250,6/13/2002,12:27 AM,8,0,88,59.4780,W,29,3.0420,N,-88.991300,29.050700,0,49.6,5.0400,EN19
OREGON II,250,6/13/2002,02:27 AM,9,0,88,54.1080,W,29,5.1480,N,-88.901800,29.085800,0,75.8,4.9500,EN22
OREGON II,250,6/13/2002,03:59 AM,10,0,88,53.7000,W,29,8.2980,N,-88.895000,29.138300,0,57.9,4.7400,EN20
OREGON II,250,6/13/2002,05:26 AM,11,0,88,51.4980,W,29,10.0080,N,-88.858300,29.166800,0,68.8,4.9500,EN21
OREGON II,250,6/13/2002,07:50 AM,12,0,88,39.5520,W,29,9.1980,N,-88.659200,29.153300,0,84.3,5.3700,EN23
OREGON II,250,6/13/2002,12:49 PM,13,0,87,59.8680,W,29,30.0300,N,-87.997800,29.500500,0,45.8,4.9800,B176
OREGON II,250,6/13/2002,04:29 PM,14,0,87,59.9700,W,29,59.8800,N,-87.999500,29.998000,0,25.2,6.2600,B177
OREGON II,250,6/13/2002,07:38 PM,15,0,88,30.0600,W,30,0.0900,N,-88.501000,30.001500,0,27.0,5.7800,B178
OREGON II,250,6/14/2002,12:34 AM,16,0,88,9.0480,W,29,24.1800,N,-88.150800,29.403000,0,57.6,4.8800,EN18
OREGON II,250,6/17/2002,09:41 PM,18,0,96,30.2580,W,26,21.4980,N,-96.504300,26.358300,0,64.0,5.2300,TD19
OREGON II,250,6/17/2002,01:31 AM,20,0,96,23.2380,W,26,10.1700,N,-96.387300,26.169500,0,84.0,3.9800,TD21
OREGON II,250,6/18/2002,03:03 AM,21,0,96,29.6400,W,26,1.6380,N,-96.494000,26.027300,0,63.0,5.1900,B316
OREGON II,250,6/18/2002,06:42 AM,22,0,96,34.0920,W,26,4.6380,N,-96.568200,26.077300,0,56.0,4.5200,TN18
OREGON II,250,6/18/2002,02:01 PM,25,0,97,2.8620,W,26,6.5580,N,-97.047700,26.109300,0,22.0,5.7300,TD07
OREGON II,250,6/18/2002,04:00 PM,26,0,97,6.1080,W,26,5.2200,N,-97.101800,26.087000,0,17.0,5.7000,TD05
OREGON II,250,6/18/2002,06:06 PM,27,0,97,4.2720,W,26,3.2040,N,-97.071200,26.053400,0,20.0,5.9100,TD08
OREGON II,250,6/18/2002,08:47 PM,28,0,97,0.0600,W,25,59.9880,N,-97.001000,25.999800,0,27.0,6.0000,B032
OREGON II,250,6/19/2002,12:31 AM,29,0,97,7.4820,W,26,3.1380,N,-97.124700,26.052300,0,13.0,5.6200,TN03
OREGON II,250,6/19/2002,03:00 AM,30,0,97,1.5480,W,26,10.4880,N,-97.025800,26.174800,0,23.0,5.9800,TN10
OREGON II,250,6/19/2002,04:43 AM,31,0,97,3.3420,W,26,19.6800,N,-97.055700,26.328000,0,19.0,5.7700,TN08
OREGON II,250,6/19/2002,06:32 AM,32,0,97,2.8680,W,26,24.4800,N,-97.047800,26.408000,0,25.0,4.8100,TN11
OREGON II,250,6/19/2002,09:06 AM,33,0,97,2.2380,W,26,30.3420,N,-97.037300,26.505700,0,31.0,3.4200,B238
OREGON II,250,6/19/2002,11:14 AM,34,0,97,1.6320,W,26,30.6480,N,-97.027200,26.510800,0,33.0,3.3800,TD13
OREGON II,250,6/19/2002,01:14 PM,35,0,97,9.0180,W,26,37.9980,N,-97.150300,26.633300,0,23.0,4.3100,TD10
OREGON II,250,6/19/2002,02:52 PM,36,0,97,4.1700,W,26,44.8980,N,-97.069500,26.748300,0,34.0,4.9200,TD15
OREGON II,250,6/19/2002,04:38 PM,37,0,97,4.5480,W,26,50.9880,N,-97.075800,26.849800,0,33.0,5.1300,TD14
OREGON II,250,6/19/2002,06:30 PM,38,0,97,9.8520,W,26,56.4900,N,-97.164200,26.941500,0,28.0,4.8100,TD10
OREGON II,250,6/19/2002,09:25 PM,39,0,97,20.0820,W,26,51.1680,N,-97.334700,26.852800,0,13.0,5.8000,TD02
OREGON II,250,6/20/2002,12:39 AM,40,0,97,16.0680,W,26,39.1620,N,-97.267800,26.652700,0,14.0,5.9100,TN01
OREGON II,250,6/20/2002,02:50 AM,41,0,97,16.4400,W,26,45.2700,N,-97.274000,26.754500,0,17.0,5.6600,TN06
OREGON II,250,6/20/2002,06:07 AM,42,0,96,52.3500,W,26,50.0880,N,-96.872500,26.834800,0,55.0,4.2100,TN19
OREGON II,250,6/20/2002,09:43 AM,44,0,96,42.7380,W,26,47.8200,N,-96.712300,26.797000,0,79.0,4.5000,TN22
OREGON II,250,6/20/2002,12:41 PM,45,0,96,38.6580,W,26,54.0180,N,-96.644300,26.900300,0,92.0,4.7500,TD22
OREGON II,250,6/20/2002,04:18 PM,47,0,96,29.6700,W,26,59.9220,N,-96.494500,26.998700,0,140.0,3.9700,B237
OREGON II,250,6/20/2002,09:20 PM,48,0,96,59.5920,W,26,58.0500,N,-96.993200,26.967500,0,41.0,3.8100,B236
OREGON II,250,6/20/2002,10:54 PM,49,0,96,56.1720,W,27,7.5600,N,-96.936200,27.126000,0,46.0,4.6500,TD17
