Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,308,10-Jun-14,3:44:27,1,1,96,30.62,W,26,3.42,N,-96.510333,26.057,60.7,60,6.55897
OREGON II,308,10-Jun-14,6:20:32,2,1,96,48.14,W,26,6.26,N,-96.802333,26.104333,41.1,40,6.50655
OREGON II,308,10-Jun-14,8:37:21,3,1,96,54.75,W,26,7.24,N,-96.9125,26.120667,34,34,6.6168
OREGON II,308,10-Jun-14,11:03:31,4,1,97,0.07,W,25,59.84,N,-97.001167,25.997333,26.8,26,6.4992
OREGON II,308,10-Jun-14,11:38:30,5,1,97,2.09,W,26,0.73,N,-97.034833,26.012167,24.1,22,6.4126
OREGON II,308,10-Jun-14,14:37:21,6,1,97,0.03,W,26,7.71,N,-97.0005,26.1285,27,26,6.5559
OREGON II,308,10-Jun-14,17:18:47,7,1,96,54.19,W,26,14.7,N,-96.903167,26.245,37.5,37,6.6419
OREGON II,308,10-Jun-14,19:19:34,8,1,97,0.19,W,26,20.62,N,-97.003167,26.343667,29.5,30,6.2711
OREGON II,308,10-Jun-14,21:54:28,9,1,97,0.15,W,26,30.19,N,-97.0025,26.503167,34,33,6.5364
OREGON II,308,10-Jun-14,22:34:08,10,1,97,0.37,W,26,27.93,N,-97.006167,26.4655,33,32,6.5702
OREGON II,308,11-Jun-14,1:39:24,11,1,96,43.95,W,26,21.13,N,-96.7325,26.352167,42.5,41,6.5767
OREGON II,308,11-Jun-14,3:35:11,12,1,96,34.84,W,26,21.64,N,-96.580667,26.360667,55,53,6.6402
OREGON II,308,11-Jun-14,4:58:59,13,1,96,34.13,W,26,18.95,N,-96.568833,26.315833,55,53,6.6817
OREGON II,308,11-Jun-14,6:45:46,14,1,96,31.46,W,26,21.85,N,-96.524333,26.364167,64,62,6.8882
OREGON II,308,11-Jun-14,10:16:18,15,1,96,30.24,W,26,29.78,N,-96.504,26.496333,78.9,76,6.6617
OREGON II,308,11-Jun-14,12:16:52,16,1,96,39.71,W,26,44.71,N,-96.661833,26.745167,86.1,83,5.615
OREGON II,308,11-Jun-14,14:09:28,17,1,96,46.71,W,26,43.76,N,-96.7785,26.729333,62.2,62,6.10082
OREGON II,308,11-Jun-14,16:13:22,18,1,96,49.3,W,26,43.79,N,-96.821667,26.729833,57.1,54,6.06762
OREGON II,308,11-Jun-14,19:41:11,19,1,96,40.31,W,26,59.63,N,-96.671833,26.993833,85.4,84,6.1236
OREGON II,308,11-Jun-14,21:00:16,20,1,96,36.55,W,27,9.42,N,-96.609167,27.157,88,88,5.5366
OREGON II,308,11-Jun-14,23:38:53,21,1,96,52.74,W,27,8.43,N,-96.879,27.1405,52.3,51,6.3786
OREGON II,308,12-Jun-14,2:07:31,22,1,97,0.26,W,26,59.67,N,-97.004333,26.9945,40.2,39,6.0591
OREGON II,308,12-Jun-14,3:42:47,23,1,97,11.68,W,26,59.79,N,-97.194667,26.9965,26.8,24,5.8751
OREGON II,308,12-Jun-14,5:47:25,24,1,97,12.57,W,27,19.67,N,-97.2095,27.327833,21.5,18,6.0547
OREGON II,308,12-Jun-14,7:20:44,25,1,97,10.61,W,27,21.59,N,-97.176833,27.359833,22.3,20,5.5909
OREGON II,308,12-Jun-14,9:26:34,26,1,97,12.14,W,27,28.89,N,-97.202333,27.4815,16.6,14,5.6998
OREGON II,308,12-Jun-14,12:16:54,27,1,97,0.01,W,27,29.56,N,-97.000167,27.492667,28.4,25,6.0498
OREGON II,308,12-Jun-14,14:24:29,28,1,96,43.5,W,27,22.21,N,-96.725,27.370167,59.8,55,5.64874
OREGON II,308,12-Jun-14,17:31:54,29,1,96,38.41,W,27,23.89,N,-96.640167,27.398167,66.5,64,5.74762
OREGON II,308,12-Jun-14,21:19:55,30,1,96,25.85,W,27,26.13,N,-96.430833,27.4355,92.7,90,5.71356
OREGON II,308,13-Jun-14,0:21:03,31,1,96,30.06,W,27,29.82,N,-96.501,27.497,72.5,70,5.84266
OREGON II,308,13-Jun-14,1:06:35,32,1,96,29.68,W,27,28.52,N,-96.494667,27.475333,76.1,75,5.64116
OREGON II,308,13-Jun-14,6:55:37,34,1,96,49.3,W,27,38.28,N,-96.821667,27.638,32.1,28,6.30572
OREGON II,308,13-Jun-14,10:47:40,35,1,96,54.71,W,27,38.56,N,-96.911833,27.642667,26.9,23,6.20716
OREGON II,308,13-Jun-14,13:17:07,36,1,97,2.29,W,27,47.16,N,-97.038167,27.786,12,8,6.04872
OREGON II,308,13-Jun-14,17:52:11,37,1,96,27.71,W,27,38.75,N,-96.461833,27.645833,61,60,5.60922
OREGON II,308,13-Jun-14,21:04:43,38,1,96,24.87,W,27,39.62,N,-96.4145,27.660333,65,63,5.77571
OREGON II,308,13-Jun-14,22:34:52,39,1,96,20.92,W,27,38.14,N,-96.348667,27.635667,75.1,74,6.39237
OREGON II,308,14-Jun-14,1:04:46,40,1,96,8.99,W,27,44.1,N,-96.149833,27.735,79,76,5.6901
OREGON II,308,14-Jun-14,4:18:41,41,1,95,49.53,W,27,44.5,N,-95.8255,27.741667,72,72,6.04824
OREGON II,308,14-Jun-14,8:00:47,42,1,95,48.58,W,28,2.68,N,-95.809667,28.044667,45.2,41,4.68356
OREGON II,308,14-Jun-14,11:06:35,43,1,96,0.5,W,27,59.46,N,-96.008333,27.991,46,43,5.21685
OREGON II,308,14-Jun-14,12:11:30,44,1,96,5.58,W,27,53.65,N,-96.093,27.894167,28.4,28,5.89678
OREGON II,308,14-Jun-14,14:42:39,45,1,96,8.76,W,28,2.6,N,-96.146,28.043333,36.5,33,5.45064
OREGON II,308,14-Jun-14,19:05:22,46,1,96,32.46,W,27,59.76,N,-96.541,27.996,26,24,5.53216
OREGON II,308,14-Jun-14,20:56:21,47,1,96,29.39,W,27,59.46,N,-96.489833,27.991,27.5,26,5.95086
OREGON II,308,14-Jun-14,21:54:51,48,1,96,27.63,W,28,5.98,N,-96.4605,28.099667,23.5,21,4.72236
OREGON II,308,14-Jun-14,23:59:30,49,1,96,19.41,W,28,8.13,N,-96.3235,28.1355,25,25,4.85736
OREGON II,308,15-Jun-14,1:55:12,50,1,96,17.49,W,28,10.09,N,-96.2915,28.168167,24,23,4.81869
OREGON II,308,15-Jun-14,4:50:17,51,1,96,20.71,W,28,18.34,N,-96.345167,28.305667,16,14,4.62746
OREGON II,308,15-Jun-14,6:52:35,52,1,96,6.07,W,28,25.06,N,-96.101167,28.417667,17.1,14,4.77718
OREGON II,308,15-Jun-14,9:19:24,53,1,95,59.65,W,28,28.25,N,-95.994167,28.470833,16.5,14,4.23456
OREGON II,308,15-Jun-14,9:43:24,54,1,95,58.65,W,28,29.07,N,-95.9775,28.4845,16.6,13,6.21294
OREGON II,308,15-Jun-14,11:26:51,55,1,95,52.71,W,28,28.39,N,-95.8785,28.473167,19,15,5.38585
OREGON II,308,15-Jun-14,13:35:30,56,1,95,48.87,W,28,24.82,N,-95.8145,28.413667,23.4,21,4.89779
OREGON II,308,15-Jun-14,16:00:44,57,1,95,36.23,W,28,30.08,N,-95.603833,28.501333,23.6,21,4.68379
OREGON II,308,15-Jun-14,19:09:22,58,1,95,29.6,W,28,44.41,N,-95.493333,28.740167,12.5,11,5.90169
OREGON II,308,15-Jun-14,21:14:42,59,1,95,29.74,W,28,29.58,N,-95.495667,28.493,26,24,5.06559
OREGON II,308,15-Jun-14,21:43:38,60,1,95,27.08,W,28,28.43,N,-95.451333,28.473833,28,28,3.77532
OREGON II,308,16-Jun-14,1:50:22,61,1,95,29.89,W,28,0.07,N,-95.498167,28.001167,54,53,5.53529
OREGON II,308,16-Jun-14,3:01:47,62,1,95,23.49,W,28,6.25,N,-95.3915,28.104167,49,48,5.01326
OREGON II,308,16-Jun-14,5:22:53,63,1,95,19.29,W,28,14.26,N,-95.3215,28.237667,41,38,4.73012
OREGON II,308,16-Jun-14,8:24:42,64,1,95,16.38,W,28,24.92,N,-95.273,28.415333,34,30,4.33434
OREGON II,308,16-Jun-14,10:48:54,65,1,95,13.26,W,28,29.76,N,-95.221,28.496,32.1,29,6.01346
OREGON II,308,16-Jun-14,12:39:42,66,1,95,6.3,W,28,29.53,N,-95.105,28.492167,28.6,27,5.34572
OREGON II,308,16-Jun-14,15:45:29,67,1,95,21,W,28,40.96,N,-95.35,28.682667,20.1,16,4.45055
OREGON II,308,16-Jun-14,17:58:49,68,1,95,14.14,W,28,43.9,N,-95.235667,28.731667,22,21,4.75445
OREGON II,308,16-Jun-14,20:40:50,69,1,95,6.71,W,28,56.58,N,-95.111833,28.943,17,16,3.14749
OREGON II,308,16-Jun-14,22:42:06,70,1,94,59.9,W,28,59.46,N,-94.998333,28.991,17.5,16,3.18399
OREGON II,308,17-Jun-14,0:51:00,71,1,94,46.78,W,29,12.5,N,-94.779667,29.208333,12.4,12,5.0685
OREGON II,308,17-Jun-14,2:31:37,72,1,94,44.46,W,29,12.38,N,-94.741,29.206333,13.5,12,5.09852
OREGON II,308,17-Jun-14,5:35:35,73,1,94,29.93,W,29,3.04,N,-94.498833,29.050667,16.4,15,4.13667
OREGON II,308,17-Jun-14,8:54:12,74,1,94,17.9,W,29,2.26,N,-94.298333,29.037667,16.8,14,3.44767
OREGON II,308,17-Jun-14,11:23:14,75,1,94,30.34,W,28,59.39,N,-94.505667,28.989833,19.8,16,4.40606
OREGON II,308,17-Jun-14,16:29:46,76,1,94,33.08,W,28,38.39,N,-94.551333,28.639833,30.6,26,4.81904
OREGON II,308,17-Jun-14,18:41:53,77,1,94,30.08,W,28,29.79,N,-94.501333,28.4965,37,35,5.76463
OREGON II,308,17-Jun-14,21:58:58,78,1,94,59.71,W,28,30.02,N,-94.995167,28.500333,33,33,4.92153
OREGON II,308,17-Jun-14,23:23:23,79,1,94,57.07,W,28,21.45,N,-94.951167,28.3575,38,39,5.85123
OREGON II,308,18-Jun-14,1:30:31,80,1,94,50.37,W,28,11.96,N,-94.8395,28.199333,51,50,5.0986
OREGON II,308,18-Jun-14,3:16:37,81,1,94,47.17,W,28,8.29,N,-94.786167,28.138167,51,49,5.74615
OREGON II,308,18-Jun-14,5:52:29,82,1,95,0.25,W,28,0.25,N,-95.004167,28.004167,78.8,77,5.22817
OREGON II,308,18-Jun-14,7:06:48,83,1,94,51.17,W,28,1.39,N,-94.852833,28.023167,75.1,74,5.86719
OREGON II,308,18-Jun-14,11:51:41,84,1,94,40.93,W,28,4.75,N,-94.682167,28.079167,58.8,56,6.29024
OREGON II,308,18-Jun-14,13:14:01,85,1,94,40.96,W,28,1.06,N,-94.682667,28.017667,71.4,70,5.9475
OREGON II,308,18-Jun-14,15:49:27,86,1,94,29.34,W,28,0.9,N,-94.489,28.015,68.3,66,6.11843
OREGON II,308,18-Jun-14,17:57:22,87,1,94,22.07,W,28,14.09,N,-94.367833,28.234833,50,51,5.69794
OREGON II,308,18-Jun-14,19:01:39,88,1,94,21.87,W,28,11.17,N,-94.3645,28.186167,53,51,5.60622
OREGON II,308,18-Jun-14,22:47:46,89,1,94,1.02,W,28,14.41,N,-94.017,28.240167,59.5,58,5.56151
OREGON II,308,19-Jun-14,1:46:00,90,1,93,50.5,W,28,27.15,N,-93.841667,28.4525,47,45,6.06971
OREGON II,308,19-Jun-14,4:15:32,91,1,93,38.46,W,28,22.96,N,-93.641,28.382667,52.3,51,6.08136
OREGON II,308,19-Jun-14,7:08:55,92,1,93,37.9,W,28,35.49,N,-93.631667,28.5915,36.6,33,5.18664
OREGON II,308,19-Jun-14,9:49:21,93,1,93,52.19,W,28,37.81,N,-93.869833,28.630167,31.2,29,5.01262
OREGON II,308,19-Jun-14,12:06:23,94,1,94,0.02,W,28,30.39,N,-94.000333,28.5065,40.5,39,5.2013
OREGON II,308,19-Jun-14,14:40:26,95,1,94,22.42,W,28,28.28,N,-94.373667,28.471333,39.4,38,6.22533
OREGON II,308,19-Jun-14,18:52:47,96,1,94,7.87,W,28,50.78,N,-94.131167,28.846333,24,23,5.08902
OREGON II,308,19-Jun-14,21:41:48,97,1,94,0.25,W,28,59.87,N,-94.004167,28.997833,20,18,3.84146
OREGON II,308,19-Jun-14,23:48:28,98,1,94,2.61,W,29,15.96,N,-94.0435,29.266,14.5,13,6.42817
OREGON II,308,20-Jun-14,1:51:16,99,1,94,7.78,W,29,6.59,N,-94.129667,29.109833,18.5,17,2.46392
OREGON II,308,20-Jun-14,3:32:00,100,1,94,9.82,W,29,6.08,N,-94.163667,29.101333,18.5,17,2.33159
OREGON II,308,20-Jun-14,5:42:21,101,1,94,11.46,W,28,58.87,N,-94.191,28.981167,19.5,16,4.1261
OREGON II,308,20-Jun-14,8:37:01,102,1,94,14.68,W,29,13.53,N,-94.244667,29.2255,14.3,12,5.69202
OREGON II,308,20-Jun-14,10:31:57,103,1,94,16.56,W,29,20.38,N,-94.276,29.339667,14.8,12,3.81578
OREGON II,308,20-Jun-14,13:04:49,104,1,94,4.56,W,29,30.57,N,-94.076,29.5095,12,10,5.27162
OREGON II,308,20-Jun-14,14:54:39,105,1,93,59.29,W,29,29.34,N,-93.988167,29.489,13,10,6.27738
OREGON II,308,20-Jun-14,17:37:17,106,1,93,31.16,W,29,32.46,N,-93.519333,29.541,12,10,5.69148
OREGON II,308,20-Jun-14,21:40:19,107,1,94,20.13,W,29,27.65,N,-94.3355,29.460833,12.5,11,4.74659
OREGON II,308,20-Jun-14,23:38:08,108,1,94,30.32,W,29,26.04,N,-94.505333,29.434,10,9,3.23464
OREGON II,308,21-Jun-14,0:32:02,109,1,94,27.17,W,29,21.93,N,-94.452833,29.3655,13,12,3.86606
OREGON II,308,24-Jun-14,3:34:09,110,1,93,55.21,W,29,5.93,N,-93.920167,29.098833,19,19,2.59021
OREGON II,308,24-Jun-14,11:19:03,111,1,93,57.93,W,28,3.53,N,-93.9655,28.058833,71.4,70,5.77833
OREGON II,308,24-Jun-14,13:36:35,112,1,94,0.01,W,28,0.35,N,-94.000167,28.005833,80.3,80,6.16365
OREGON II,308,24-Jun-14,15:35:24,113,1,93,42.55,W,27,59.52,N,-93.709167,27.992,92.2,90,5.70058
OREGON II,308,24-Jun-14,18:46:52,114,1,93,28.87,W,27,58.98,N,-93.481167,27.983,101,100,4.82726
OREGON II,308,24-Jun-14,19:35:21,115,1,93,31.21,W,28,3.78,N,-93.520167,28.063,84,81,4.8807
OREGON II,308,25-Jun-14,0:19:01,116,1,92,59.7,W,27,59.79,N,-92.995,27.9965,105,106,5.53988
OREGON II,308,25-Jun-14,3:50:45,117,1,92,30.28,W,27,59.9,N,-92.504667,27.998333,104,105,4.91542
OREGON II,308,25-Jun-14,4:35:41,118,1,92,31.29,W,28,2.9,N,-92.5215,28.048333,94.5,94,5.37026
OREGON II,308,25-Jun-14,6:32:03,119,1,92,33.7,W,28,3.37,N,-92.561667,28.056167,103,99,5.18357
OREGON II,308,25-Jun-14,9:33:46,120,1,92,44.53,W,28,10.96,N,-92.742167,28.182667,70.6,68,5.27273
