Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,290,7/6/2010,01:49 AM,67,0,97,2.90,W,26,30.03,N,-97.048333,26.500500,0,30.9,5.76691
OREGON II,290,7/6/2010,02:34 AM,68,0,97,1.99,W,26,28.57,N,-97.033167,26.476167,0,31.6,5.79467
OREGON II,290,7/6/2010,04:40 AM,69,0,96,56.89,W,26,19.99,N,-96.948167,26.333167,0,35.7,5.29359
OREGON II,290,7/6/2010,06:35 AM,70,0,96,53.24,W,26,16.98,N,-96.887333,26.283000,0,39.0,5.53682
OREGON II,290,7/6/2010,07:56 AM,71,0,96,52.82,W,26,7.84,N,-96.880333,26.130667,0,38.2,5.66881
OREGON II,290,7/6/2010,10:20 AM,72,0,97,2.46,W,26,1.71,N,-97.041000,26.028500,0,22.9,5.89733
OREGON II,290,7/6/2010,12:22 PM,73,0,96,56.50,W,26,2.35,N,-96.941667,26.039167,0,31.5,5.49736
OREGON II,290,7/6/2010,04:12 PM,74,0,96,30.04,W,26,1.90,N,-96.500667,26.031667,0,61.5,5.87481
OREGON II,290,7/6/2010,06:41 PM,75,0,96,29.28,W,26,7.17,N,-96.488000,26.119500,0,62.3,5.89419
OREGON II,290,7/6/2010,08:48 PM,76,0,96,22.35,W,26,9.48,N,-96.372500,26.158000,0,93.3,5.39139
OREGON II,290,7/6/2010,10:57 PM,77,0,96,22.70,W,26,14.67,N,-96.378333,26.244500,0,82.3,5.63356
OREGON II,290,7/7/2010,12:12 AM,78,0,96,33.93,W,26,14.53,N,-96.565500,26.242167,0,54.2,5.36378
OREGON II,290,7/7/2010,01:50 AM,79,0,96,40.08,W,26,18.14,N,-96.668000,26.302333,0,47.2,5.37720
OREGON II,290,7/7/2010,04:41 AM,80,0,96,30.04,W,26,29.98,N,-96.500667,26.499667,0,83.0,5.76255
OREGON II,290,7/7/2010,06:55 AM,81,0,96,41.84,W,26,35.19,N,-96.697333,26.586500,0,62.5,5.23908
OREGON II,290,7/7/2010,09:05 AM,82,0,96,36.41,W,26,37.23,N,-96.606833,26.620500,0,80.6,4.78446
OREGON II,290,7/7/2010,09:41 AM,83,0,96,33.41,W,26,36.99,N,-96.556833,26.616500,0,89.6,4.47473
OREGON II,290,7/7/2010,12:04 PM,84,0,96,37.32,W,26,42.14,N,-96.622000,26.702333,0,90.1,4.31361
OREGON II,290,7/7/2010,02:08 PM,85,0,96,50.68,W,26,51.61,N,-96.844667,26.860167,0,58.7,4.85293
OREGON II,290,7/7/2010,04:35 PM,86,0,96,40.10,W,26,59.82,N,-96.668333,26.997000,0,86.6,4.11537
OREGON II,290,7/7/2010,06:19 PM,87,0,96,35.68,W,27,7.26,N,-96.594667,27.121000,0,92.6,4.13980
OREGON II,290,7/7/2010,08:40 PM,88,0,96,31.74,W,27,10.50,N,-96.529000,27.175000,0,100.8,4.33880
OREGON II,290,7/7/2010,10:20 PM,89,0,96,41.00,W,27,19.08,N,-96.683333,27.318000,0,67.9,5.05026
