Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,352,6/4/2024,18:20:56,1,1,-89,59.81,W,28,30.08,N,-89.996833,28.501333,101.00,103,4.0673
OREGON II,352,6/4/2024,21:53:52,2,1,-90,7.29,W,28,21.78,N,-90.121500,28.363000,78.00,76,4.4879
OREGON II,352,6/5/2024,01:08:48,3,1,-90,10.42,W,28,18.17,N,-90.173667,28.302833,87.00,85,4.8144
OREGON II,352,6/5/2024,07:38:23,4,1,-90,36.56,W,28,21.25,N,-90.609333,28.354167,49.80,49,6.5312
OREGON II,352,6/5/2024,14:20:09,5,1,-90,58.06,W,28,19.48,N,-90.967667,28.324667,58.67,57,5.0777
OREGON II,352,6/7/2024,03:58:42,6,1,-96,30.94,W,26,36.88,N,-96.515667,26.614667,104.00,97,5.2427
OREGON II,352,6/7/2024,15:50:19,8,1,-96,21.46,W,26,15.27,N,-96.357667,26.254500,96.00,94,4.8279
OREGON II,352,6/7/2024,17:56:10,9,1,-96,25.35,W,26,9.42,N,-96.422500,26.157000,76.00,75,5.4366
OREGON II,352,6/7/2024,19:42:15,10,1,-96,42.12,W,26,10.15,N,-96.702000,26.169167,48.00,45,5.4031
OREGON II,352,6/7/2024,22:48:19,11,1,-97,1.77,W,25,59.25,N,-97.029500,25.987500,25.00,23,3.9951
OREGON II,352,6/8/2024,00:42:24,12,1,-96,58.91,W,26,4.72,N,-96.981833,26.078667,29.00,27,2.9508
OREGON II,352,6/8/2024,02:58:46,13,1,-97,5.11,W,26,8.67,N,-97.085167,26.144500,19.14,18,5.2904
OREGON II,352,6/8/2024,05:23:28,14,1,-97,1.49,W,26,19.07,N,-97.024833,26.317833,26.90,26,5.2258
OREGON II,352,6/8/2024,10:36:29,16,1,-96,44.53,W,26,39.14,N,-96.742167,26.652333,65.00,63,5.8391
OREGON II,352,6/8/2024,17:11:15,18,1,-96,56.22,W,26,51.95,N,-96.937000,26.865833,49.00,47,5.1307
OREGON II,352,6/8/2024,20:06:07,19,1,-97,15.16,W,26,52.77,N,-97.252667,26.879500,24.00,21,5.5434
OREGON II,352,6/8/2024,23:40:23,20,1,-97,0.73,W,27,11.18,N,-97.012167,27.186333,38.00,35,4.4163
OREGON II,352,6/9/2024,02:29:45,21,1,-96,46.03,W,27,3.33,N,-96.767167,27.055500,71.60,69,5.2772
OREGON II,352,6/9/2024,04:57:59,22,1,-96,35.85,W,27,11.18,N,-96.597500,27.186333,10.50,88,5.2619
OREGON II,352,6/9/2024,08:04:52,23,1,-96,31.99,W,27,24.73,N,-96.533167,27.412167,82.50,79,5.0179
OREGON II,352,6/9/2024,11:21:00,24,1,-96,49.73,W,27,31.55,N,-96.828833,27.525833,39.90,38,4.0029
OREGON II,352,6/9/2024,13:32:44,25,1,-97,1.89,W,27,31.31,N,-97.031500,27.521833,26.70,25,5.4806
OREGON II,352,6/9/2024,15:18:00,26,1,-97,8.02,W,27,26.70,N,-97.133667,27.445000,23.90,23,1.4519
OREGON II,352,6/9/2024,19:01:54,27,1,-97,7.38,W,27,36.14,N,-97.123000,27.602333,17.40,15,5.1957
OREGON II,352,6/9/2024,21:27:30,28,1,-96,54.09,W,27,37.95,N,-96.901500,27.632500,28.70,27,3.7520
OREGON II,352,6/10/2024,00:18:48,29,1,-96,42.70,W,27,45.08,N,-96.711667,27.751333,33.00,30,3.4422
OREGON II,352,6/10/2024,02:21:01,30,1,-96,34.98,W,27,47.36,N,-96.583000,27.789333,39.00,37,3.8925
OREGON II,352,6/10/2024,05:16:18,31,1,-96,30.20,W,27,37.39,N,-96.503333,27.623167,61.90,60,4.3537
OREGON II,352,6/10/2024,08:42:26,32,1,-96,11.44,W,27,36.42,N,-96.190667,27.607000,104.80,103,4.5814
OREGON II,352,6/10/2024,14:19:35,33,1,-95,42.08,W,27,42.98,N,-95.701333,27.716333,110.30,107,4.8203
OREGON II,352,6/10/2024,18:05:08,34,1,-95,49.59,W,27,50.51,N,-95.826500,27.841833,63.00,60,5.5935
OREGON II,352,6/10/2024,21:49:05,35,1,-96,6.77,W,28,4.24,N,-96.112833,28.070667,36.50,34,4.4650
OREGON II,352,6/10/2024,23:59:42,36,1,-96,10.75,W,28,11.35,N,-96.179167,28.189167,26.00,23,3.7565
OREGON II,352,6/11/2024,02:35:59,37,1,-96,16.91,W,27,59.84,N,-96.281833,27.997333,36.00,36,3.4917
OREGON II,352,6/11/2024,05:00:32,38,1,-96,19.37,W,27,52.28,N,-96.322833,27.871333,49.41,48,3.5903
