Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,304,9-Jun-13,21:00:15,1,1,96,29.53,W,26,30.21,N,-96.492167,26.5035,87.2,85,4.83759
OREGON II,304,10-Jun-13,1:11:48,2,1,96,25.55,W,26,24.42,N,-96.425833,26.407,79.5,79,4.8057
OREGON II,304,10-Jun-13,3:31:59,3,1,96,22.09,W,26,18.93,N,-96.368167,26.3155,81.1,80,5.28108
OREGON II,304,10-Jun-13,5:53:42,4,1,96,42.02,W,26,24.61,N,-96.700333,26.410167,45.2,45,6.29474
OREGON II,304,10-Jun-13,10:11:43,5,1,96,32.78,W,26,4.42,N,-96.546333,26.073667,58.6,58,5.92694
OREGON II,304,10-Jun-13,12:32:24,6,1,96,45.85,W,26,5.17,N,-96.764167,26.086167,43.7,42,5.72971
OREGON II,304,10-Jun-13,16:17:50,7,1,96,58.98,W,25,59.49,N,-96.983,25.9915,28.5,28,4.33003
OREGON II,304,10-Jun-13,18:48:32,8,1,97,7.56,W,26,14.46,N,-97.126,26.241,16.9,14,6.14661
OREGON II,304,10-Jun-13,22:48:32,9,1,97,2.32,W,26,32.07,N,-97.038667,26.5345,32.1,31,4.83951
OREGON II,304,10-Jun-13,23:51:53,10,1,97,0.79,W,26,30.3,N,-97.013167,26.505,32.9,32,4.9717
OREGON II,304,11-Jun-13,0:59:46,11,1,96,57.68,W,26,26.76,N,-96.961333,26.446,35.5,34,5.37676
OREGON II,304,11-Jun-13,4:37:34,12,1,97,14.31,W,26,36.35,N,-97.2385,26.605833,15.3,14,6.31414
OREGON II,304,11-Jun-13,8:58:36,13,1,97,11.9,W,27,0.01,N,-97.198333,27.000167,25.2,26,6.07913
OREGON II,304,11-Jun-13,11:12:08,14,1,96,59.93,W,26,59.93,N,-96.998833,26.998833,41.7,40,4.92779
OREGON II,304,11-Jun-13,12:30:39,15,1,97,1,W,26,58.24,N,-97.016667,26.970667,40.3,40,4.82597
OREGON II,304,11-Jun-13,14:24:50,16,1,96,56.59,W,26,55.24,N,-96.943167,26.920667,47.7,48,5.06519
OREGON II,304,11-Jun-13,16:42:15,17,1,96,37.79,W,26,53.19,N,-96.629833,26.8865,94.7,94,4.68699
OREGON II,304,11-Jun-13,18:52:27,18,1,96,37.59,W,26,56.79,N,-96.6265,26.9465,95.3,94,4.37115
OREGON II,304,11-Jun-13,21:05:58,19,1,96,40.12,W,26,59.93,N,-96.668667,26.998833,87.4,87,5.01015
OREGON II,304,11-Jun-13,22:58:25,20,1,96,45.65,W,27,2.08,N,-96.760833,27.034667,71.6,71,5.1921
OREGON II,304,12-Jun-13,2:47:18,21,1,96,32.93,W,27,16.24,N,-96.548833,27.270667,90.7,88,5.06331
OREGON II,304,12-Jun-13,5:03:40,22,1,96,34.04,W,27,23.82,N,-96.567333,27.397,76.3,76,5.28533
OREGON II,304,12-Jun-13,7:34:53,23,1,96,30.49,W,27,29.64,N,-96.508167,27.494,73.5,71,5.49634
OREGON II,304,12-Jun-13,10:10:18,24,1,96,45.99,W,27,21.93,N,-96.7665,27.3655,55.2,53,5.13185
OREGON II,304,12-Jun-13,12:26:48,25,1,96,49.68,W,27,28.67,N,-96.828,27.477833,41.5,40,5.06257
OREGON II,304,12-Jun-13,14:38:00,26,1,96,59.63,W,27,30.5,N,-96.993833,27.508333,27.9,27,4.17693
OREGON II,304,12-Jun-13,15:53:29,27,1,97,2.52,W,27,35.61,N,-97.042,27.5935,22.1,20,5.51007
OREGON II,304,12-Jun-13,17:41:29,28,1,97,2.21,W,27,31.17,N,-97.036833,27.5195,25.3,24,3.75924
OREGON II,304,12-Jun-13,19:13:49,29,1,96,54.32,W,27,40.1,N,-96.905333,27.668333,26.1,24,3.22102
OREGON II,304,12-Jun-13,23:14:12,30,1,96,49.64,W,27,54.45,N,-96.827333,27.9075,18.6,17,2.01597
OREGON II,304,13-Jun-13,0:59:14,31,1,96,41.73,W,27,53.93,N,-96.6955,27.898833,24.1,22,3.23064
OREGON II,304,13-Jun-13,3:00:52,32,1,96,30.93,W,27,53.82,N,-96.5155,27.897,32.7,32,4.38038
OREGON II,304,13-Jun-13,4:55:54,33,1,96,30.46,W,28,0.79,N,-96.507667,28.013167,25.6,24,2.97617
OREGON II,304,13-Jun-13,6:32:23,34,1,96,26.38,W,28,3.58,N,-96.439667,28.059667,25.3,24,2.88624
OREGON II,304,13-Jun-13,8:50:38,35,1,96,20.55,W,27,54.01,N,-96.3425,27.900167,43.3,43,4.92323
OREGON II,304,13-Jun-13,10:35:45,36,1,96,20.65,W,27,46.41,N,-96.344167,27.7735,58.6,59,5.32867
OREGON II,304,13-Jun-13,12:54:18,37,1,96,10.58,W,27,39.76,N,-96.176333,27.662667,92.6,92,4.88747
OREGON II,304,13-Jun-13,16:25:58,38,1,95,53.13,W,27,53,N,-95.8855,27.883333,57.5,56,6.13004
OREGON II,304,13-Jun-13,19:34:39,39,1,96,2.09,W,27,59.85,N,-96.034833,27.9975,44.8,44,5.46274
OREGON II,304,13-Jun-13,21:14:29,40,1,95,58.57,W,28,7.16,N,-95.976167,28.119333,34.9,33,3.88306
OREGON II,304,14-Jun-13,0:41:16,41,1,96,21.26,W,28,15.65,N,-96.354333,28.260833,19.4,18,2.19355
OREGON II,304,14-Jun-13,2:22:04,42,1,96,20.15,W,28,19.59,N,-96.335833,28.3265,15.1,12,3.42211
OREGON II,304,14-Jun-13,5:16:30,43,1,96,4,W,28,20.24,N,-96.066667,28.337333,21.3,20,3.57375
OREGON II,304,14-Jun-13,7:10:05,44,1,96,4.42,W,28,15.29,N,-96.073667,28.254833,23.5,21,3.29318
OREGON II,304,14-Jun-13,8:47:45,45,1,96,1.25,W,28,28.28,N,-96.020833,28.471333,15.5,14,1.25507
OREGON II,304,14-Jun-13,10:33:35,46,1,95,53.85,W,28,31.46,N,-95.8975,28.524333,15.4,14,0.91729
OREGON II,304,14-Jun-13,12:47:03,47,1,95,47.67,W,28,28.3,N,-95.7945,28.471667,20.4,20,3.74338
