Ship,Cruise,DateUTC,TimeUTC,Station,Cast,LongDeg,LongMin,LongHem,LatDeg,LatMin,LatHem,Longitude,Latitude,WaterDepthM,SampleDepthM,Bottom_OxMgL
OREGON II,313,9-Jun-15,21:41:55,1,1,96,35.87,W,26,33.45,N,-96.597833,26.5575,74.6,75,5.1061
OREGON II,313,10-Jun-15,0:21:03,2,1,96,29.35,W,26,29.21,N,-96.489167,26.486833,81.8,80,5.3254
OREGON II,313,10-Jun-15,1:10:28,3,1,96,29.21,W,26,27.84,N,-96.486833,26.464,76.5,76,5.1406
OREGON II,313,10-Jun-15,3:37:02,4,1,96,33.07,W,26,25.92,N,-96.551167,26.432,64,62,4.9857
OREGON II,313,10-Jun-15,6:05:21,5,1,96,22.32,W,26,18.29,N,-96.372,26.304833,80.7,78,5.2659
OREGON II,313,10-Jun-15,9:22:24,6,1,96,30.1,W,26,2.89,N,-96.501667,26.048167,61.8,60,5.3137
OREGON II,313,10-Jun-15,10:29:29,7,1,96,37.67,W,26,6.87,N,-96.627833,26.1145,49.2,48,4.9542
OREGON II,313,10-Jun-15,11:57:12,8,1,96,42,W,26,6.34,N,-96.7,26.105667,45.3,44,5.3853
OREGON II,313,10-Jun-15,15:06:08,9,1,97,0.21,W,26,0.29,N,-97.0035,26.004833,26.9,26,4.7353
OREGON II,313,10-Jun-15,16:34:22,10,1,96,59.74,W,26,12.74,N,-96.995667,26.212333,28.9,29,4.1177
OREGON II,313,10-Jun-15,17:55:07,11,1,97,5.5,W,26,14.65,N,-97.091667,26.244167,18.4,18,4.4406
OREGON II,313,10-Jun-15,19:41:47,12,1,97,2.13,W,26,21.65,N,-97.0355,26.360833,25.8,26,4.2142
OREGON II,313,10-Jun-15,22:06:53,13,1,97,0.32,W,26,29.99,N,-97.005333,26.499833,34,31,4.3863
OREGON II,313,10-Jun-15,23:06:48,14,1,96,55.39,W,26,31.21,N,-96.923167,26.520167,38.1,38,5.1375
OREGON II,313,11-Jun-15,2:29:29,15,1,97,8.35,W,26,46.58,N,-97.139167,26.776333,30,29,4.585
OREGON II,313,11-Jun-15,5:02:51,16,1,97,14.34,W,26,58.5,N,-97.239,26.975,24.5,22,3.0169
OREGON II,313,11-Jun-15,6:52:06,17,1,97,12.21,W,27,0.21,N,-97.2035,27.0035,26.5,25,3.7173
OREGON II,313,11-Jun-15,8:23:48,18,1,97,1.3,W,26,56.1,N,-97.021667,26.935,39.6,38,4.648
OREGON II,313,11-Jun-15,10:47:06,19,1,97,0.79,W,27,0.5,N,-97.013167,27.008333,40.4,38,4.7824
OREGON II,313,11-Jun-15,11:35:08,20,1,96,55.84,W,27,3.02,N,-96.930667,27.050333,49.1,50,4.7059
OREGON II,313,11-Jun-15,14:09:07,21,1,96,43.84,W,26,53.87,N,-96.730667,26.897833,78,78,5.0818
OREGON II,313,11-Jun-15,17:54:06,22,1,96,39.68,W,27,0.09,N,-96.661333,27.0015,88.9,89,5.2164
OREGON II,313,11-Jun-15,19:30:54,23,1,96,39.08,W,27,8.15,N,-96.651333,27.135833,84.4,84,5.0647
OREGON II,313,11-Jun-15,22:07:20,24,1,96,40.61,W,27,16.71,N,-96.676833,27.2785,71.3,71,4.9242
OREGON II,313,12-Jun-15,1:49:39,25,1,96,29.9,W,27,29.52,N,-96.498333,27.492,75.1,74,5.4323
OREGON II,313,12-Jun-15,3:50:22,26,1,96,49.62,W,27,31.01,N,-96.827,27.516833,38.5,38,4.6393
OREGON II,313,12-Jun-15,6:28:41,27,1,97,0.17,W,27,30.65,N,-97.002833,27.510833,27,27,4.3474
OREGON II,313,12-Jun-15,7:08:50,28,1,97,4.21,W,27,32.32,N,-97.070167,27.538667,23.2,20,3.7684
OREGON II,313,12-Jun-15,8:50:17,29,1,97,4.73,W,27,27.03,N,-97.078833,27.4505,25.2,24,3.7445
OREGON II,313,12-Jun-15,10:58:25,30,1,97,10.81,W,27,29.52,N,-97.180167,27.492,17.5,16,2.0106
OREGON II,313,12-Jun-15,18:19:18,31,1,96,49.65,W,27,56.03,N,-96.8275,27.933833,17,17,1.1637
OREGON II,313,12-Jun-15,19:36:41,32,1,96,45.08,W,27,56.03,N,-96.751333,27.933833,19.7,20,2.1311
OREGON II,313,12-Jun-15,21:26:51,33,1,96,35.87,W,27,51.76,N,-96.597833,27.862667,34.1,29,4.7752
OREGON II,313,12-Jun-15,23:05:36,34,1,96,39.93,W,27,49.21,N,-96.6655,27.820167,29.5,28,4.5538
OREGON II,313,13-Jun-15,0:56:29,35,1,96,30.6,W,27,47.08,N,-96.51,27.784667,43.8,43,5.2354
OREGON II,313,13-Jun-15,4:19:37,36,1,96,11.96,W,27,40.56,N,-96.199333,27.676,87.1,85,5.5592
OREGON II,313,13-Jun-15,6:42:52,37,1,96,15.58,W,27,46.5,N,-96.259667,27.775,64.8,61,5.0592
OREGON II,313,13-Jun-15,13:16:47,38,1,96,29.76,W,27,59.53,N,-96.496,27.992167,26.9,25,1.9664
OREGON II,313,13-Jun-15,14:29:52,39,1,96,35.38,W,28,7.21,N,-96.589667,28.120167,16.8,14,4.6131
OREGON II,313,13-Jun-15,18:21:39,40,1,96,20.08,W,28,15.82,N,-96.334667,28.263667,20.1,18,0.8962
OREGON II,313,13-Jun-15,19:38:29,41,1,96,12.92,W,28,11.04,N,-96.215333,28.184,24.7,24,2.0891
OREGON II,313,13-Jun-15,22:40:47,42,1,96,2.71,W,28,18.67,N,-96.045167,28.311167,21.7,22,1.5168
OREGON II,313,14-Jun-15,1:06:35,43,1,96,6.87,W,28,25.1,N,-96.1145,28.418333,16.2,15,0.3465
OREGON II,313,14-Jun-15,4:02:46,44,1,96,3.93,W,28,24.21,N,-96.0655,28.4035,18.1,15,0.8796
OREGON II,313,14-Jun-15,8:49:13,45,1,95,53.39,W,28,29.65,N,-95.889833,28.494167,17.1,16,0.1126
OREGON II,313,17-Jun-15,16:29:44,46,1,92,55.6,W,29,2.34,N,-92.926667,29.039,24.1,24,5.9564
OREGON II,313,17-Jun-15,17:58:50,47,1,92,58.87,W,29,1.65,N,-92.981167,29.0275,24,23,5.9483
OREGON II,313,17-Jun-15,19:38:32,48,1,92,59.41,W,28,59.92,N,-92.990167,28.998667,23.8,23,5.9132
OREGON II,313,17-Jun-15,20:13:38,49,1,93,1.87,W,29,2.31,N,-93.031167,29.0385,24,24,5.8587
OREGON II,313,17-Jun-15,22:30:56,50,1,93,10.64,W,29,8.32,N,-93.177333,29.138667,18.8,19,5.7347
OREGON II,313,18-Jun-15,2:00:59,51,1,93,29.89,W,29,21.19,N,-93.498167,29.353167,14.4,14,5.7879
OREGON II,313,18-Jun-15,4:34:01,52,1,93,31.32,W,29,26.53,N,-93.522,29.442167,12.1,11,4.8285
OREGON II,313,18-Jun-15,8:37:14,53,1,93,54.23,W,29,1.02,N,-93.903833,29.017,19.5,19,4.7227
OREGON II,313,18-Jun-15,10:09:02,54,1,93,58.85,W,29,1.95,N,-93.980833,29.0325,20.1,18,5.7803
OREGON II,313,18-Jun-15,11:46:59,55,1,94,0.32,W,28,59.6,N,-94.005333,28.993333,20.3,20,5.8007
OREGON II,313,18-Jun-15,13:28:32,56,1,94,12.49,W,28,51.76,N,-94.208167,28.862667,22.8,21,5.8609
OREGON II,313,18-Jun-15,15:15:01,57,1,94,11.08,W,28,49.96,N,-94.184667,28.832667,25.2,23,5.7215
OREGON II,313,18-Jun-15,17:55:36,58,1,94,20.79,W,28,41.46,N,-94.3465,28.691,25.9,24,5.7615
OREGON II,313,18-Jun-15,22:14:57,59,1,93,59.85,W,28,29.46,N,-93.9975,28.491,40.8,40,6.4143
OREGON II,313,19-Jun-15,1:01:20,60,1,94,7.92,W,28,23.41,N,-94.132,28.390167,46.3,46,6.2616
OREGON II,313,19-Jun-15,1:45:36,61,1,94,3.06,W,28,23.92,N,-94.051,28.398667,47.4,46,6.4581
OREGON II,313,19-Jun-15,3:20:15,62,1,93,57.71,W,28,20.19,N,-93.961833,28.3365,54.7,54,6.0383
OREGON II,313,19-Jun-15,7:01:24,63,1,94,0.02,W,27,59.82,N,-94.000333,27.997,82.4,80,5.7098
OREGON II,313,19-Jun-15,8:17:22,64,1,94,10.26,W,28,3.5,N,-94.171,28.058333,65.4,65,5.7424
OREGON II,313,19-Jun-15,12:03:44,65,1,94,30.21,W,28,0.02,N,-94.5035,28.000333,70.8,70,5.5865
OREGON II,313,19-Jun-15,13:01:53,66,1,94,34.5,W,28,5.53,N,-94.575,28.092167,57,56,5.9967
OREGON II,313,19-Jun-15,15:41:28,67,1,94,29.39,W,28,16.53,N,-94.489833,28.2755,47.3,47,6.4188
OREGON II,313,19-Jun-15,18:10:16,68,1,94,22.12,W,28,24.96,N,-94.368667,28.416,41.6,42,5.8618
OREGON II,313,19-Jun-15,20:10:57,69,1,94,27.5,W,28,29.46,N,-94.458333,28.491,36.9,37,5.4773
OREGON II,313,19-Jun-15,22:13:13,70,1,94,29.85,W,28,29.68,N,-94.4975,28.494667,36.5,36,4.4466
OREGON II,313,19-Jun-15,23:12:30,71,1,94,36.5,W,28,25.16,N,-94.608333,28.419333,39.7,39,5.6782
OREGON II,313,20-Jun-15,1:04:24,72,1,94,46.43,W,28,23.64,N,-94.773833,28.394,39.3,39,5.4031
OREGON II,313,20-Jun-15,4:24:26,73,1,94,51,W,28,1.19,N,-94.85,28.019833,76.5,76,5.4687
OREGON II,313,20-Jun-15,6:54:09,74,1,94,57.21,W,28,6.49,N,-94.9535,28.108167,56.2,54,6.0037
OREGON II,313,20-Jun-15,9:04:37,75,1,95,0.26,W,28,0.17,N,-95.004333,28.002833,80.6,79,5.4096
OREGON II,313,20-Jun-15,9:25:09,76,1,95,0.3,W,27,59.75,N,-95.005,27.995833,82.1,81,5.4042
OREGON II,313,20-Jun-15,12:23:55,77,1,95,17.89,W,27,53.45,N,-95.298167,27.890833,94.6,93,5.1936
OREGON II,313,20-Jun-15,15:40:50,78,1,95,17.5,W,28,10.82,N,-95.291667,28.180333,46.6,46,5.9371
OREGON II,313,20-Jun-15,16:51:03,79,1,95,18.98,W,28,8.82,N,-95.316333,28.147,48.2,48,6.0415
OREGON II,313,20-Jun-15,19:52:59,80,1,95,29.08,W,27,59.93,N,-95.484667,27.998833,55.5,55,5.7286
OREGON II,313,20-Jun-15,21:58:53,81,1,95,42.71,W,27,45.46,N,-95.711833,27.757667,74.5,74,5.2582
OREGON II,313,21-Jun-15,0:42:24,82,1,96,0.08,W,27,46.95,N,-96.001333,27.7825,69.4,70,5.0979
OREGON II,313,21-Jun-15,3:13:00,83,1,96,6.42,W,27,56.57,N,-96.107,27.942833,49.2,50,5.3755
OREGON II,313,21-Jun-15,5:38:35,84,1,96,1.03,W,28,0.1,N,-96.017167,28.001667,44.5,45,4.3765
OREGON II,313,21-Jun-15,6:26:47,85,1,95,56.48,W,28,3.46,N,-95.941333,28.057667,40.6,39,4.3885
OREGON II,313,21-Jun-15,9:14:26,86,1,95,48.32,W,27,59.35,N,-95.805333,27.989167,49.3,47,5.1349
OREGON II,313,21-Jun-15,13:26:21,87,1,95,31.59,W,28,14.42,N,-95.5265,28.240333,37.1,37,5.0353
OREGON II,313,21-Jun-15,14:37:06,88,1,95,32.07,W,28,12.04,N,-95.5345,28.200667,39.3,38,5.3189
OREGON II,313,21-Jun-15,18:05:13,89,1,95,33.85,W,28,26.45,N,-95.564167,28.440833,26.8,26,1.9768
