year,month,Central_precip_inches,Lower_precip_inches,Upper_precip_inches
2001,1,1.484,4.154,0.94
2001,2,2.834,5.7,1.2733333333333332
2001,3,1.3980000000000001,5.392,0.5633333333333334
2001,4,3.1399999999999997,2.506,4.666666666666667
2001,5,5.326,3.972,3.8166666666666664
2001,6,4.194,6.116,3.94
2001,7,4.172,4.518,3.26
2001,8,3.5159999999999996,4.582,2.73
2001,9,3.554,4.242,2.7133333333333334
2001,10,5.054,5.082,1.8099999999999998
2001,11,2.6079999999999997,5.67,1.8399999999999999
2001,12,2.5420000000000003,5.952,0.6166666666666667
2002,1,1.9120000000000001,4.92,0.33666666666666667
2002,2,1.6199999999999999,2.5780000000000003,0.8466666666666667
2002,3,3.2359999999999998,7.786,1.4866666666666666
2002,4,4.734,3.4560000000000004,2.58
2002,5,6.662000000000001,5.002000000000001,2.3066666666666666
2002,6,3.468,3.3659999999999997,4.443333333333333
2002,7,3.068,4.486,3.453333333333333
2002,8,3.7359999999999998,3.5759999999999996,4.376666666666667
2002,9,2.724,6.459999999999999,2.8366666666666664
2002,10,3.2039999999999997,6.790000000000001,2.6733333333333333
2002,11,1.468,3.9440000000000004,0.23666666666666666
2002,12,2.072,6.8180000000000005,0.41333333333333333
2003,1,0.932,1.522,0.3466666666666667
2003,2,2.146,7.706,0.57
2003,3,1.954,2.7039999999999997,1.2266666666666668
2003,4,3.2,4.362,2.3633333333333333
2003,5,5.672,6.308,3.7266666666666666
2003,6,4.044,6.688,3.8966666666666665
2003,7,5.292,5.182,2.6999999999999997
2003,8,3.136,4.258,1.4966666666666668
2003,9,4.942,4.756,2.6199999999999997
2003,10,2.0300000000000002,2.352,1.1166666666666667
2003,11,3.992,5.470000000000001,1.6233333333333333
2003,12,2.522,3.3939999999999997,0.7633333333333333
2004,1,2.4379999999999997,3.968,0.6333333333333334
2004,2,1.01,5.804,0.98
2004,3,3.918,3.772,2.08
2004,4,2.4240000000000004,4.8740000000000006,1.4733333333333334
2004,5,6.856,7.18,5.623333333333334
2004,6,3.838,7.382,3.3233333333333337
2004,7,4.772,4.696,3.3833333333333333
2004,8,4.754,3.6719999999999997,2.57
2004,9,1.902,2.412,3.856666666666667
2004,10,3.7060000000000004,6.116,2.8966666666666665
2004,11,4.204,7.792,0.8799999999999999
2004,12,1.924,4.832,0.8233333333333334
2005,1,5.08,4.340000000000001,1.14
2005,2,1.948,4.346,0.7933333333333333
2005,3,1.786,3.628,0.8966666666666666
2005,4,3.3659999999999997,5.064,1.86
2005,5,2.552,2.492,3.4566666666666666
2005,6,3.2020000000000004,3.058,4.82
2005,7,3.604,5.096,2.4433333333333334
2005,8,4.398000000000001,5.308,2.6833333333333336
2005,9,3.662,3.5879999999999996,3.4566666666666666
2005,10,1.5539999999999998,0.434,2.2600000000000002
2005,11,3.152,3.116,2.1866666666666665
2005,12,1.428,2.818,0.9533333333333335
2006,1,2.436,5.32,0.7333333333333333
2006,2,0.9960000000000001,3.844,0.5266666666666667
2006,3,3.878,3.63,1.71
2006,4,3.8560000000000003,4.444,2.54
2006,5,3.814,3.718,2.6666666666666665
2006,6,3.472,2.832,2.2133333333333334
2006,7,4.254,3.9560000000000004,2.0833333333333335
2006,8,4.412,4.154,3.6666666666666665
2006,9,3.9659999999999997,4.836,3.25
2006,10,3.9659999999999997,6.0520000000000005,1.2966666666666666
2006,11,2.802,3.626,0.9733333333333333
2006,12,3.272,5.276000000000001,1.2666666666666666
2007,1,3.192,5.465999999999999,0.52
2007,2,2.168,2.268,1.03
2007,3,3.274,1.818,2.1966666666666668
2007,4,3.882,3.9479999999999995,2.36
2007,5,3.21,2.8899999999999997,3.396666666666667
2007,6,3.7340000000000004,3.55,3.2633333333333336
2007,7,3.158,5.976000000000001,2.0533333333333332
2007,8,5.5120000000000005,1.802,5.013333333333333
2007,9,2.472,3.728,2.9466666666666668
2007,10,3.918,4.7780000000000005,4.069999999999999
2007,11,1.814,2.8760000000000003,0.21333333333333335
2007,12,3.9879999999999995,4.994,1.4833333333333334
2008,1,2.044,3.4939999999999998,0.5833333333333334
2008,2,4.058,4.837999999999999,0.7966666666666667
2008,3,5.098000000000001,6.066,0.9233333333333333
2008,4,4.536,5.614,3.4033333333333338
2008,5,5.36,5.282,3.3299999999999996
2008,6,6.87,3.192,5.37
2008,7,5.212,3.368,3.3066666666666666
2008,8,2.068,5.6579999999999995,1.7833333333333332
2008,9,5.2620000000000005,4.946,2.7133333333333334
2008,10,2.4539999999999997,2.67,2.813333333333333
2008,11,1.866,2.918,1.3266666666666667
2008,12,3.7659999999999996,6.42,1.5599999999999998
2009,1,1.334,3.622,0.5433333333333333
2009,2,1.988,2.666,1.0466666666666666
2009,3,3.338,5.68,2.1733333333333333
2009,4,4.92,4.492,2.18
2009,5,4.9,7.878,1.9633333333333332
2009,6,4.976,2.996,3.376666666666667
2009,7,4.43,6.968000000000001,2.793333333333333
2009,8,4.414,3.47,3.8466666666666662
2009,9,2.662,7.046000000000001,1.2766666666666666
2009,10,7.112,10.048,4.786666666666666
2009,11,1.6759999999999997,1.7,0.57
2009,12,3.1260000000000003,7.292,1.6866666666666668
2010,1,1.6280000000000001,4.276,0.7966666666666667
2010,2,1.55,3.688,0.5833333333333334
2010,3,2.7520000000000002,3.1740000000000004,0.9566666666666667
2010,4,3.268,2.68,2.0233333333333334
2010,5,5.444,6.51,3.33
2010,6,7.356,3.522,5.75
2010,7,5.522,4.602,5.3933333333333335
2010,8,3.02,4.106,3.7366666666666664
2010,9,4.09,1.8539999999999999,5.326666666666667
2010,10,1.212,1.754,1.8633333333333333
2010,11,3.404,5.1659999999999995,1.14
2010,12,1.444,2.1979999999999995,1.4799999999999998
2011,1,1.224,3.2260000000000004,0.9633333333333334
2011,2,3.3880000000000003,3.604,0.98
2011,3,3.0780000000000003,5.1899999999999995,1.54
2011,4,7.254,8.268,2.9
2011,5,5.9399999999999995,4.715999999999999,3.8966666666666665
2011,6,5.198,3.854,4.306666666666666
2011,7,3.2060000000000004,4.198,4.1466666666666665
2011,8,3.058,2.434,2.6966666666666668
2011,9,3.804,5.984,1.64
2011,10,2.2800000000000002,2.008,1.2
2011,11,4.92,6.275999999999999,0.8433333333333333
2011,12,3.604,5.968,0.7266666666666666
2012,1,2.1079999999999997,4.106,0.6633333333333333
2012,2,1.7240000000000002,4.274,1.2
2012,3,2.7960000000000003,6.17,1.3333333333333333
2012,4,2.984,3.016,2.8333333333333335
2012,5,2.914,2.8560000000000003,4.52
2012,6,1.968,2.668,3.2933333333333334
2012,7,2.05,5.774,2.67
2012,8,3.168,5.7379999999999995,1.8333333333333333
2012,9,4.366,5.308,0.77
2012,10,3.6980000000000004,3.0439999999999996,2.163333333333333
2012,11,1.1280000000000001,1.7280000000000002,0.7666666666666667
2012,12,2.6599999999999997,5.71,1.1366666666666667
2013,1,3.082,8.056000000000001,1.05
2013,2,2.2399999999999998,4.534000000000001,1.1633333333333333
2013,3,2.5799999999999996,3.78,1.4333333333333333
2013,4,5.958,6.2780000000000005,3.41
2013,5,5.61,5.586,4.86
2013,6,5.368,4.822,4.8500000000000005
2013,7,3.572,5.238,2.5966666666666667
2013,8,2.31,3.6879999999999997,2.3400000000000003
2013,9,2.35,4.37,2.1766666666666667
2013,10,3.496,3.3599999999999994,3.9633333333333334
2013,11,2.504,4.246,1.0833333333333333
2013,12,2.824,5.572,1.2333333333333334
2014,1,1.53,2.232,0.7233333333333333
2014,2,2.036,4.776,0.8300000000000001
2014,3,1.564,4.42,0.91
2014,4,5.180000000000001,6.226,3.5700000000000003
2014,5,3.5460000000000003,5.046,3.2433333333333336
2014,6,6.712000000000001,6.046,6.890000000000001
2014,7,3.198,4.446,2.0166666666666666
2014,8,4.91,4.572,4.32
2014,9,3.596,2.472,2.61
2014,10,4.166,5.138,1.61
2014,11,1.784,3.002,1.1533333333333333
2014,12,2.0620000000000003,4.1659999999999995,0.92
